year,Frederich
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,12
1914,8
1915,10
1916,19
1917,9
1918,16
1919,12
1920,11
1921,16
1922,10
1923,12
1924,13
1925,9
1926,9
1927,12
1928,10
1929,7
1930,13
1931,8
1932,8
1933,8
1934,0
1935,8
1936,9
1937,9
1938,7
1939,9
1940,9
1941,6
1942,7
1943,9
1944,6
1945,0
1946,11
1947,14
1948,12
1949,9
1950,11
1951,10
1952,10
1953,15
1954,8
1955,11
1956,10
1957,10
1958,7
1959,5
1960,8
1961,9
1962,8
1963,9
1964,10
1965,8
1966,10
1967,15
1968,10
1969,8
1970,8
1971,10
1972,9
1973,9
1974,11
1975,5
1976,0
1977,5
1978,5
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
