year,Fredric
1880,0
1881,7
1882,6
1883,0
1884,0
1885,5
1886,0
1887,0
1888,6
1889,8
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,5
1900,0
1901,0
1902,5
1903,0
1904,6
1905,6
1906,0
1907,0
1908,6
1909,6
1910,6
1911,12
1912,31
1913,32
1914,50
1915,79
1916,65
1917,82
1918,76
1919,57
1920,61
1921,70
1922,62
1923,48
1924,59
1925,52
1926,58
1927,42
1928,57
1929,68
1930,72
1931,91
1932,101
1933,127
1934,138
1935,167
1936,150
1937,169
1938,163
1939,179
1940,145
1941,168
1942,200
1943,218
1944,142
1945,196
1946,199
1947,223
1948,201
1949,194
1950,209
1951,177
1952,205
1953,186
1954,173
1955,180
1956,154
1957,141
1958,117
1959,132
1960,109
1961,102
1962,95
1963,91
1964,92
1965,90
1966,66
1967,81
1968,72
1969,70
1970,70
1971,79
1972,69
1973,71
1974,41
1975,51
1976,43
1977,50
1978,41
1979,52
1980,37
1981,33
1982,36
1983,31
1984,32
1985,30
1986,28
1987,19
1988,29
1989,31
1990,37
1991,30
1992,22
1993,18
1994,27
1995,20
1996,20
1997,21
1998,21
1999,22
2000,17
2001,29
2002,10
2003,12
2004,12
2005,6
2006,14
2007,9
2008,15
2009,12
2010,15
2011,13
2012,14
