year,Floretta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,5
1893,5
1894,0
1895,0
1896,6
1897,0
1898,7
1899,8
1900,7
1901,10
1902,5
1903,0
1904,7
1905,11
1906,10
1907,14
1908,18
1909,11
1910,7
1911,12
1912,16
1913,21
1914,22
1915,39
1916,50
1917,30
1918,29
1919,37
1920,44
1921,33
1922,33
1923,40
1924,37
1925,35
1926,33
1927,42
1928,30
1929,44
1930,51
1931,44
1932,43
1933,48
1934,44
1935,37
1936,33
1937,40
1938,49
1939,43
1940,35
1941,31
1942,27
1943,32
1944,36
1945,21
1946,39
1947,33
1948,35
1949,37
1950,23
1951,28
1952,31
1953,37
1954,38
1955,36
1956,25
1957,29
1958,23
1959,27
1960,30
1961,18
1962,19
1963,16
1964,19
1965,16
1966,11
1967,11
1968,12
1969,12
1970,15
1971,7
1972,8
1973,9
1974,9
1975,7
1976,6
1977,6
1978,0
1979,7
1980,6
1981,9
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
