year,Florentine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,5
1891,5
1892,0
1893,5
1894,8
1895,0
1896,0
1897,7
1898,9
1899,8
1900,7
1901,0
1902,8
1903,0
1904,6
1905,8
1906,6
1907,7
1908,8
1909,9
1910,11
1911,5
1912,13
1913,12
1914,19
1915,29
1916,29
1917,31
1918,29
1919,26
1920,30
1921,36
1922,31
1923,26
1924,18
1925,23
1926,24
1927,22
1928,19
1929,14
1930,20
1931,15
1932,10
1933,11
1934,11
1935,8
1936,5
1937,5
1938,6
1939,6
1940,6
1941,0
1942,6
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
