year,Fabian (F),Fabian (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000020
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000022
1905,0.000000,0.000014
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000014
1910,0.000000,0.000012
1911,0.000000,0.000012
1912,0.000000,0.000012
1913,0.000000,0.000014
1914,0.000000,0.000016
1915,0.000000,0.000015
1916,0.000000,0.000013
1917,0.000000,0.000016
1918,0.000000,0.000015
1919,0.000000,0.000014
1920,0.000000,0.000013
1921,0.000000,0.000015
1922,0.000000,0.000017
1923,0.000000,0.000018
1924,0.000000,0.000017
1925,0.000000,0.000015
1926,0.000000,0.000014
1927,0.000000,0.000016
1928,0.000000,0.000017
1929,0.000000,0.000013
1930,0.000000,0.000009
1931,0.000000,0.000013
1932,0.000000,0.000016
1933,0.000000,0.000014
1934,0.000000,0.000013
1935,0.000000,0.000011
1936,0.000000,0.000014
1937,0.000000,0.000010
1938,0.000000,0.000010
1939,0.000000,0.000010
1940,0.000000,0.000010
1941,0.000000,0.000010
1942,0.000000,0.000011
1943,0.000000,0.000009
1944,0.000000,0.000008
1945,0.000000,0.000008
1946,0.000000,0.000009
1947,0.000000,0.000004
1948,0.000000,0.000008
1949,0.000000,0.000009
1950,0.000005,0.000009
1951,0.000002,0.000009
1952,0.000003,0.000010
1953,0.000003,0.000008
1954,0.000000,0.000010
1955,0.000000,0.000011
1956,0.000000,0.000008
1957,0.000002,0.000012
1958,0.000000,0.000010
1959,0.000003,0.000038
1960,0.000000,0.000045
1961,0.000000,0.000038
1962,0.000000,0.000030
1963,0.000000,0.000033
1964,0.000000,0.000036
1965,0.000002,0.000045
1966,0.000000,0.000051
1967,0.000000,0.000051
1968,0.000000,0.000054
1969,0.000000,0.000055
1970,0.000000,0.000060
1971,0.000001,0.000066
1972,0.000002,0.000068
1973,0.000000,0.000073
1974,0.000000,0.000077
1975,0.000002,0.000081
1976,0.000002,0.000086
1977,0.000002,0.000101
1978,0.000000,0.000105
1979,0.000000,0.000109
1980,0.000002,0.000105
1981,0.000003,0.000116
1982,0.000002,0.000104
1983,0.000003,0.000105
1984,0.000004,0.000108
1985,0.000003,0.000128
1986,0.000003,0.000135
1987,0.000002,0.000137
1988,0.000003,0.000147
1989,0.000002,0.000155
1990,0.000002,0.000194
1991,0.000002,0.000194
1992,0.000003,0.000185
1993,0.000003,0.000220
1994,0.000005,0.000208
1995,0.000003,0.000196
1996,0.000002,0.000219
1997,0.000002,0.000237
1998,0.000001,0.000237
1999,0.000002,0.000270
2000,0.000000,0.000286
2001,0.000001,0.000297
2002,0.000000,0.000308
2003,0.000001,0.000302
2004,0.000002,0.000321
2005,0.000000,0.000320
2006,0.000001,0.000322
2007,0.000002,0.000350
2008,0.000002,0.000300
2009,0.000000,0.000308
2010,0.000000,0.000283
2011,0.000000,0.000328
2012,0.000000,0.000318
