year,Frona
1880,10
1881,9
1882,9
1883,8
1884,12
1885,12
1886,11
1887,14
1888,8
1889,15
1890,9
1891,16
1892,12
1893,20
1894,23
1895,19
1896,15
1897,11
1898,9
1899,13
1900,21
1901,20
1902,0
1903,12
1904,9
1905,7
1906,9
1907,15
1908,14
1909,0
1910,13
1911,16
1912,15
1913,15
1914,21
1915,14
1916,18
1917,15
1918,18
1919,17
1920,22
1921,19
1922,22
1923,10
1924,19
1925,15
1926,9
1927,11
1928,11
1929,13
1930,5
1931,15
1932,14
1933,10
1934,9
1935,10
1936,9
1937,8
1938,10
1939,10
1940,7
1941,7
1942,0
1943,13
1944,9
1945,0
1946,7
1947,6
1948,0
1949,8
1950,0
1951,6
1952,0
1953,12
1954,0
1955,5
1956,5
1957,5
1958,0
1959,0
1960,0
1961,8
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
