year,Fremont
1880,0
1881,0
1882,5
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,14
1914,19
1915,21
1916,14
1917,17
1918,20
1919,17
1920,27
1921,22
1922,19
1923,15
1924,14
1925,13
1926,13
1927,15
1928,19
1929,9
1930,0
1931,6
1932,12
1933,6
1934,11
1935,12
1936,7
1937,11
1938,8
1939,0
1940,8
1941,0
1942,8
1943,9
1944,5
1945,6
1946,6
1947,8
1948,0
1949,0
1950,6
1951,6
1952,5
1953,7
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,6
1962,0
1963,0
1964,8
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
