year,Fronia
1880,0
1881,6
1882,8
1883,0
1884,6
1885,8
1886,14
1887,10
1888,13
1889,9
1890,5
1891,7
1892,14
1893,9
1894,10
1895,8
1896,10
1897,6
1898,11
1899,9
1900,11
1901,8
1902,7
1903,7
1904,5
1905,9
1906,5
1907,7
1908,0
1909,9
1910,9
1911,8
1912,11
1913,9
1914,8
1915,14
1916,15
1917,13
1918,16
1919,12
1920,13
1921,10
1922,12
1923,11
1924,13
1925,12
1926,10
1927,5
1928,8
1929,6
1930,9
1931,5
1932,10
1933,9
1934,0
1935,5
1936,6
1937,9
1938,6
1939,7
1940,7
1941,5
1942,8
1943,0
1944,6
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
