year,Fara
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,7
1919,0
1920,7
1921,0
1922,12
1923,5
1924,6
1925,6
1926,0
1927,0
1928,0
1929,6
1930,6
1931,6
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,8
1950,16
1951,6
1952,12
1953,8
1954,13
1955,6
1956,13
1957,15
1958,9
1959,14
1960,31
1961,29
1962,19
1963,11
1964,13
1965,14
1966,14
1967,17
1968,17
1969,15
1970,21
1971,16
1972,17
1973,13
1974,27
1975,32
1976,55
1977,59
1978,17
1979,12
1980,8
1981,19
1982,27
1983,12
1984,21
1985,13
1986,8
1987,13
1988,14
1989,14
1990,12
1991,7
1992,15
1993,6
1994,7
1995,6
1996,0
1997,7
1998,6
1999,7
2000,11
2001,11
2002,0
2003,7
2004,6
2005,7
2006,11
2007,7
2008,8
2009,7
2010,13
2011,19
2012,10
