year,Fleta
1880,0
1881,6
1882,0
1883,0
1884,11
1885,0
1886,0
1887,7
1888,8
1889,6
1890,9
1891,8
1892,6
1893,13
1894,13
1895,10
1896,14
1897,16
1898,20
1899,14
1900,19
1901,8
1902,7
1903,15
1904,21
1905,13
1906,15
1907,12
1908,20
1909,20
1910,8
1911,18
1912,13
1913,23
1914,36
1915,43
1916,31
1917,46
1918,33
1919,34
1920,32
1921,37
1922,39
1923,35
1924,37
1925,28
1926,34
1927,37
1928,27
1929,30
1930,36
1931,17
1932,18
1933,20
1934,25
1935,21
1936,21
1937,13
1938,19
1939,8
1940,11
1941,18
1942,6
1943,15
1944,9
1945,9
1946,10
1947,11
1948,17
1949,6
1950,7
1951,7
1952,7
1953,6
1954,9
1955,17
1956,13
1957,12
1958,0
1959,5
1960,0
1961,0
1962,7
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
