year,Florie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,7
1887,0
1888,0
1889,0
1890,0
1891,5
1892,6
1893,0
1894,0
1895,8
1896,0
1897,9
1898,0
1899,8
1900,11
1901,10
1902,13
1903,14
1904,6
1905,7
1906,6
1907,10
1908,11
1909,9
1910,14
1911,14
1912,18
1913,11
1914,18
1915,12
1916,17
1917,25
1918,17
1919,10
1920,20
1921,20
1922,24
1923,24
1924,17
1925,23
1926,18
1927,24
1928,12
1929,17
1930,16
1931,19
1932,12
1933,14
1934,8
1935,10
1936,12
1937,16
1938,9
1939,8
1940,14
1941,11
1942,11
1943,9
1944,8
1945,9
1946,8
1947,12
1948,8
1949,8
1950,8
1951,11
1952,6
1953,7
1954,5
1955,8
1956,0
1957,10
1958,8
1959,7
1960,11
1961,7
1962,6
1963,9
1964,0
1965,8
1966,0
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
