year,Freida
1880,0
1881,0
1882,0
1883,0
1884,6
1885,9
1886,7
1887,8
1888,11
1889,13
1890,13
1891,32
1892,21
1893,24
1894,21
1895,26
1896,28
1897,28
1898,26
1899,37
1900,28
1901,25
1902,34
1903,29
1904,40
1905,40
1906,39
1907,48
1908,38
1909,45
1910,57
1911,52
1912,82
1913,111
1914,122
1915,138
1916,167
1917,187
1918,198
1919,202
1920,199
1921,211
1922,214
1923,193
1924,186
1925,172
1926,172
1927,205
1928,146
1929,140
1930,164
1931,136
1932,132
1933,147
1934,175
1935,163
1936,144
1937,162
1938,173
1939,177
1940,141
1941,141
1942,157
1943,154
1944,148
1945,149
1946,175
1947,224
1948,212
1949,197
1950,178
1951,214
1952,195
1953,173
1954,189
1955,169
1956,190
1957,183
1958,170
1959,162
1960,107
1961,119
1962,97
1963,86
1964,71
1965,79
1966,59
1967,51
1968,57
1969,61
1970,41
1971,31
1972,47
1973,51
1974,34
1975,36
1976,28
1977,22
1978,20
1979,25
1980,19
1981,12
1982,26
1983,10
1984,25
1985,16
1986,22
1987,21
1988,14
1989,8
1990,9
1991,14
1992,11
1993,16
1994,9
1995,11
1996,8
1997,14
1998,16
1999,12
2000,18
2001,11
2002,12
2003,8
2004,14
2005,12
2006,13
2007,15
2008,22
2009,16
2010,11
2011,15
2012,21
