year,Franklyn (F),Franklyn (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000018
1894,0.000000,0.000015
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000026
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000020
1902,0.000000,0.000013
1903,0.000000,0.000024
1904,0.000000,0.000012
1905,0.000000,0.000019
1906,0.000000,0.000014
1907,0.000000,0.000021
1908,0.000000,0.000023
1909,0.000000,0.000014
1910,0.000000,0.000025
1911,0.000000,0.000023
1912,0.000000,0.000023
1913,0.000000,0.000035
1914,0.000000,0.000039
1915,0.000000,0.000038
1916,0.000000,0.000029
1917,0.000000,0.000044
1918,0.000000,0.000039
1919,0.000000,0.000040
1920,0.000000,0.000034
1921,0.000000,0.000040
1922,0.000000,0.000041
1923,0.000000,0.000041
1924,0.000000,0.000029
1925,0.000000,0.000038
1926,0.000000,0.000036
1927,0.000000,0.000031
1928,0.000000,0.000027
1929,0.000000,0.000033
1930,0.000000,0.000034
1931,0.000000,0.000026
1932,0.000002,0.000037
1933,0.000000,0.000067
1934,0.000000,0.000040
1935,0.000000,0.000045
1936,0.000000,0.000037
1937,0.000000,0.000034
1938,0.000000,0.000033
1939,0.000000,0.000035
1940,0.000000,0.000035
1941,0.000000,0.000027
1942,0.000000,0.000033
1943,0.000000,0.000024
1944,0.000000,0.000016
1945,0.000000,0.000029
1946,0.000000,0.000016
1947,0.000000,0.000018
1948,0.000000,0.000021
1949,0.000000,0.000021
1950,0.000000,0.000017
1951,0.000000,0.000015
1952,0.000000,0.000014
1953,0.000000,0.000014
1954,0.000000,0.000017
1955,0.000000,0.000017
1956,0.000000,0.000016
1957,0.000000,0.000013
1958,0.000000,0.000013
1959,0.000000,0.000011
1960,0.000000,0.000012
1961,0.000000,0.000011
1962,0.000000,0.000011
1963,0.000000,0.000012
1964,0.000000,0.000012
1965,0.000000,0.000013
1966,0.000000,0.000012
1967,0.000000,0.000011
1968,0.000000,0.000013
1969,0.000000,0.000018
1970,0.000000,0.000014
1971,0.000000,0.000011
1972,0.000000,0.000012
1973,0.000000,0.000012
1974,0.000000,0.000011
1975,0.000000,0.000009
1976,0.000000,0.000013
1977,0.000000,0.000011
1978,0.000000,0.000011
1979,0.000000,0.000010
1980,0.000000,0.000010
1981,0.000000,0.000012
1982,0.000000,0.000010
1983,0.000000,0.000013
1984,0.000000,0.000013
1985,0.000000,0.000010
1986,0.000000,0.000011
1987,0.000000,0.000016
1988,0.000000,0.000015
1989,0.000000,0.000019
1990,0.000000,0.000016
1991,0.000000,0.000015
1992,0.000000,0.000011
1993,0.000000,0.000013
1994,0.000000,0.000013
1995,0.000000,0.000014
1996,0.000000,0.000011
1997,0.000000,0.000015
1998,0.000000,0.000014
1999,0.000000,0.000011
2000,0.000000,0.000010
2001,0.000000,0.000010
2002,0.000000,0.000009
2003,0.000000,0.000009
2004,0.000000,0.000010
2005,0.000000,0.000010
2006,0.000000,0.000011
2007,0.000000,0.000010
2008,0.000000,0.000014
2009,0.000000,0.000008
2010,0.000000,0.000012
2011,0.000000,0.000006
2012,0.000000,0.000008
