year,Faustino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,8
1910,6
1911,0
1912,6
1913,9
1914,15
1915,15
1916,16
1917,14
1918,16
1919,25
1920,20
1921,28
1922,21
1923,27
1924,51
1925,28
1926,49
1927,49
1928,41
1929,45
1930,39
1931,35
1932,39
1933,43
1934,30
1935,28
1936,22
1937,24
1938,19
1939,25
1940,25
1941,26
1942,24
1943,30
1944,23
1945,34
1946,36
1947,46
1948,37
1949,39
1950,24
1951,37
1952,35
1953,25
1954,28
1955,38
1956,40
1957,28
1958,32
1959,41
1960,34
1961,24
1962,37
1963,40
1964,22
1965,20
1966,27
1967,27
1968,30
1969,30
1970,41
1971,35
1972,31
1973,37
1974,38
1975,40
1976,36
1977,31
1978,39
1979,42
1980,48
1981,40
1982,39
1983,36
1984,30
1985,36
1986,38
1987,47
1988,46
1989,47
1990,50
1991,64
1992,59
1993,54
1994,55
1995,42
1996,47
1997,44
1998,42
1999,46
2000,47
2001,58
2002,35
2003,43
2004,52
2005,39
2006,41
2007,38
2008,35
2009,39
2010,29
2011,32
2012,32
