year,Foster (F),Foster (M)
1880,0.000000,0.000079
1881,0.000000,0.000114
1882,0.000000,0.000153
1883,0.000000,0.000147
1884,0.000000,0.000082
1885,0.000000,0.000104
1886,0.000000,0.000086
1887,0.000000,0.000069
1888,0.000000,0.000087
1889,0.000000,0.000093
1890,0.000000,0.000076
1891,0.000000,0.000112
1892,0.000000,0.000123
1893,0.000000,0.000111
1894,0.000000,0.000118
1895,0.000000,0.000077
1896,0.000000,0.000120
1897,0.000000,0.000107
1898,0.000000,0.000097
1899,0.000000,0.000103
1900,0.000000,0.000064
1901,0.000000,0.000104
1902,0.000000,0.000078
1903,0.000000,0.000073
1904,0.000000,0.000104
1905,0.000000,0.000073
1906,0.000000,0.000096
1907,0.000000,0.000062
1908,0.000000,0.000084
1909,0.000000,0.000070
1910,0.000000,0.000071
1911,0.000000,0.000095
1912,0.000000,0.000097
1913,0.000000,0.000107
1914,0.000004,0.000097
1915,0.000000,0.000091
1916,0.000000,0.000105
1917,0.000000,0.000088
1918,0.000000,0.000098
1919,0.000000,0.000089
1920,0.000000,0.000089
1921,0.000000,0.000085
1922,0.000003,0.000083
1923,0.000002,0.000076
1924,0.000000,0.000072
1925,0.000002,0.000068
1926,0.000000,0.000072
1927,0.000000,0.000067
1928,0.000000,0.000048
1929,0.000000,0.000053
1930,0.000000,0.000054
1931,0.000000,0.000053
1932,0.000000,0.000047
1933,0.000000,0.000050
1934,0.000000,0.000053
1935,0.000000,0.000056
1936,0.000000,0.000041
1937,0.000000,0.000048
1938,0.000000,0.000049
1939,0.000000,0.000039
1940,0.000000,0.000039
1941,0.000000,0.000038
1942,0.000002,0.000042
1943,0.000000,0.000042
1944,0.000000,0.000040
1945,0.000000,0.000040
1946,0.000000,0.000028
1947,0.000000,0.000034
1948,0.000000,0.000034
1949,0.000000,0.000031
1950,0.000000,0.000026
1951,0.000000,0.000022
1952,0.000000,0.000021
1953,0.000000,0.000019
1954,0.000000,0.000016
1955,0.000000,0.000018
1956,0.000000,0.000021
1957,0.000000,0.000017
1958,0.000000,0.000016
1959,0.000000,0.000016
1960,0.000000,0.000013
1961,0.000000,0.000018
1962,0.000000,0.000014
1963,0.000000,0.000010
1964,0.000000,0.000014
1965,0.000000,0.000013
1966,0.000000,0.000010
1967,0.000000,0.000012
1968,0.000000,0.000013
1969,0.000000,0.000007
1970,0.000000,0.000011
1971,0.000000,0.000009
1972,0.000000,0.000009
1973,0.000000,0.000012
1974,0.000000,0.000009
1975,0.000000,0.000014
1976,0.000000,0.000012
1977,0.000000,0.000014
1978,0.000000,0.000010
1979,0.000000,0.000012
1980,0.000000,0.000009
1981,0.000000,0.000010
1982,0.000000,0.000010
1983,0.000000,0.000010
1984,0.000000,0.000009
1985,0.000000,0.000012
1986,0.000000,0.000008
1987,0.000000,0.000011
1988,0.000000,0.000011
1989,0.000000,0.000010
1990,0.000000,0.000013
1991,0.000000,0.000013
1992,0.000000,0.000015
1993,0.000001,0.000020
1994,0.000000,0.000025
1995,0.000001,0.000030
1996,0.000000,0.000022
1997,0.000002,0.000031
1998,0.000002,0.000029
1999,0.000000,0.000031
2000,0.000002,0.000026
2001,0.000000,0.000024
2002,0.000000,0.000029
2003,0.000000,0.000025
2004,0.000001,0.000029
2005,0.000000,0.000022
2006,0.000003,0.000025
2007,0.000000,0.000023
2008,0.000001,0.000022
2009,0.000000,0.000030
2010,0.000001,0.000034
2011,0.000000,0.000028
2012,0.000001,0.000055
2013,0.000002,0.000059
