year,Fransico
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,7
1935,5
1936,6
1937,5
1938,0
1939,5
1940,8
1941,0
1942,0
1943,0
1944,6
1945,5
1946,6
1947,9
1948,8
1949,11
1950,17
1951,22
1952,18
1953,14
1954,11
1955,10
1956,6
1957,13
1958,7
1959,16
1960,8
1961,9
1962,5
1963,5
1964,7
1965,9
1966,5
1967,14
1968,10
1969,8
1970,12
1971,13
1972,9
1973,12
1974,15
1975,16
1976,10
1977,16
1978,18
1979,14
1980,11
1981,18
1982,21
1983,18
1984,13
1985,10
1986,13
1987,12
1988,13
1989,20
1990,18
1991,17
1992,10
1993,15
1994,16
1995,11
1996,18
1997,13
1998,15
1999,12
2000,12
2001,11
2002,10
2003,10
2004,10
2005,12
2006,9
2007,12
2008,0
2009,5
2010,0
2011,5
2012,0
