year,Francina
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,6
1913,0
1914,5
1915,8
1916,6
1917,0
1918,5
1919,10
1920,10
1921,10
1922,14
1923,9
1924,7
1925,8
1926,15
1927,7
1928,11
1929,8
1930,15
1931,7
1932,8
1933,15
1934,11
1935,14
1936,10
1937,17
1938,15
1939,17
1940,21
1941,11
1942,17
1943,23
1944,19
1945,13
1946,28
1947,28
1948,24
1949,27
1950,46
1951,34
1952,37
1953,27
1954,31
1955,27
1956,40
1957,36
1958,28
1959,33
1960,40
1961,31
1962,42
1963,42
1964,38
1965,31
1966,31
1967,31
1968,26
1969,32
1970,25
1971,25
1972,24
1973,16
1974,22
1975,17
1976,16
1977,19
1978,15
1979,18
1980,17
1981,17
1982,15
1983,17
1984,16
1985,16
1986,12
1987,18
1988,18
1989,5
1990,16
1991,10
1992,10
1993,7
1994,14
1995,8
1996,7
1997,0
1998,5
1999,6
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
