year,Festus
1880,0
1881,0
1882,0
1883,8
1884,8
1885,5
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,5
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,6
1911,0
1912,0
1913,5
1914,8
1915,11
1916,16
1917,16
1918,14
1919,10
1920,10
1921,15
1922,13
1923,10
1924,11
1925,8
1926,7
1927,11
1928,5
1929,12
1930,6
1931,7
1932,6
1933,5
1934,0
1935,7
1936,0
1937,5
1938,0
1939,5
1940,0
1941,7
1942,0
1943,8
1944,0
1945,0
1946,0
1947,0
1948,0
1949,8
1950,6
1951,7
1952,5
1953,0
1954,0
1955,8
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,5
1976,0
1977,6
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
