year,Floree
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,7
1911,0
1912,9
1913,9
1914,11
1915,11
1916,8
1917,14
1918,15
1919,19
1920,13
1921,17
1922,9
1923,13
1924,14
1925,14
1926,10
1927,12
1928,12
1929,6
1930,15
1931,5
1932,11
1933,9
1934,11
1935,13
1936,8
1937,14
1938,9
1939,6
1940,0
1941,0
1942,8
1943,8
1944,0
1945,0
1946,0
1947,5
1948,6
1949,6
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
