year,Florentino (F),Florentino (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000018
1909,0.000000,0.000000
1910,0.000000,0.000012
1911,0.000000,0.000000
1912,0.000000,0.000008
1913,0.000000,0.000007
1914,0.000000,0.000011
1915,0.000000,0.000008
1916,0.000000,0.000005
1917,0.000000,0.000004
1918,0.000000,0.000007
1919,0.000000,0.000009
1920,0.000000,0.000008
1921,0.000000,0.000012
1922,0.000000,0.000012
1923,0.000000,0.000010
1924,0.000000,0.000014
1925,0.000000,0.000021
1926,0.000000,0.000011
1927,0.000000,0.000014
1928,0.000000,0.000020
1929,0.000000,0.000021
1930,0.000000,0.000022
1931,0.000000,0.000019
1932,0.000000,0.000014
1933,0.000000,0.000018
1934,0.000000,0.000012
1935,0.000000,0.000015
1936,0.000000,0.000015
1937,0.000000,0.000014
1938,0.000000,0.000009
1939,0.000000,0.000012
1940,0.000000,0.000014
1941,0.000000,0.000013
1942,0.000000,0.000012
1943,0.000000,0.000007
1944,0.000000,0.000015
1945,0.000000,0.000013
1946,0.000000,0.000008
1947,0.000000,0.000009
1948,0.000000,0.000010
1949,0.000000,0.000007
1950,0.000000,0.000007
1951,0.000000,0.000008
1952,0.000000,0.000009
1953,0.000000,0.000010
1954,0.000000,0.000008
1955,0.000000,0.000007
1956,0.000000,0.000005
1957,0.000000,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000007
1960,0.000000,0.000007
1961,0.000000,0.000008
1962,0.000000,0.000008
1963,0.000000,0.000007
1964,0.000000,0.000011
1965,0.000000,0.000007
1966,0.000000,0.000009
1967,0.000000,0.000008
1968,0.000000,0.000009
1969,0.000000,0.000005
1970,0.000000,0.000008
1971,0.000000,0.000008
1972,0.000000,0.000010
1973,0.000000,0.000011
1974,0.000000,0.000012
1975,0.000000,0.000011
1976,0.000000,0.000014
1977,0.000000,0.000010
1978,0.000000,0.000011
1979,0.000000,0.000011
1980,0.000000,0.000010
1981,0.000000,0.000010
1982,0.000000,0.000010
1983,0.000000,0.000009
1984,0.000000,0.000008
1985,0.000000,0.000009
1986,0.000000,0.000008
1987,0.000000,0.000009
1988,0.000000,0.000006
1989,0.000000,0.000009
1990,0.000000,0.000009
1991,0.000000,0.000010
1992,0.000000,0.000013
1993,0.000000,0.000009
1994,0.000000,0.000009
1995,0.000000,0.000010
1996,0.000000,0.000010
1997,0.000000,0.000009
1998,0.000000,0.000008
1999,0.000000,0.000010
2000,0.000000,0.000007
2001,0.000000,0.000007
2002,0.000000,0.000006
2003,0.000000,0.000010
2004,0.000000,0.000006
2005,0.000000,0.000005
2006,0.000000,0.000007
2007,0.000000,0.000006
2008,0.000000,0.000004
2009,0.000000,0.000004
2010,0.000000,0.000005
2011,0.000000,0.000004
2012,0.000000,0.000005
2013,0.000000,0.000002
2014,0.000000,0.000003
2015,0.000000,0.000003
2016,0.000000,0.000004
2017,0.000000,0.000003
2018,0.000000,0.000004
2019,0.000000,0.000002
2020,0.000000,0.000003
