year,Fredricka
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,7
1915,9
1916,9
1917,0
1918,0
1919,0
1920,7
1921,8
1922,5
1923,6
1924,8
1925,9
1926,8
1927,5
1928,9
1929,8
1930,9
1931,7
1932,9
1933,5
1934,5
1935,9
1936,7
1937,10
1938,10
1939,19
1940,17
1941,20
1942,19
1943,19
1944,21
1945,20
1946,27
1947,20
1948,20
1949,13
1950,22
1951,12
1952,16
1953,16
1954,12
1955,16
1956,18
1957,11
1958,20
1959,13
1960,14
1961,16
1962,18
1963,18
1964,19
1965,20
1966,9
1967,14
1968,9
1969,15
1970,14
1971,21
1972,20
1973,23
1974,15
1975,16
1976,14
1977,17
1978,12
1979,17
1980,17
1981,15
1982,10
1983,14
1984,27
1985,16
1986,18
1987,19
1988,21
1989,19
1990,19
1991,31
1992,24
1993,13
1994,24
1995,17
1996,18
1997,17
1998,22
1999,15
2000,15
2001,7
2002,10
2003,8
2004,7
2005,9
2006,6
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
