year,Froilan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,6
1957,0
1958,0
1959,0
1960,6
1961,0
1962,0
1963,0
1964,5
1965,5
1966,0
1967,0
1968,0
1969,5
1970,0
1971,7
1972,0
1973,7
1974,9
1975,11
1976,8
1977,7
1978,7
1979,6
1980,18
1981,9
1982,6
1983,7
1984,16
1985,6
1986,8
1987,6
1988,11
1989,16
1990,11
1991,10
1992,11
1993,14
1994,12
1995,11
1996,16
1997,6
1998,11
1999,5
2000,10
2001,13
2002,12
2003,16
2004,14
2005,13
2006,6
2007,9
2008,18
2009,12
2010,8
2011,13
2012,10
