year,Fonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,8
1913,5
1914,7
1915,19
1916,12
1917,9
1918,10
1919,19
1920,12
1921,12
1922,12
1923,19
1924,15
1925,8
1926,17
1927,25
1928,9
1929,26
1930,26
1931,25
1932,15
1933,20
1934,12
1935,22
1936,17
1937,23
1938,33
1939,35
1940,36
1941,48
1942,49
1943,57
1944,36
1945,41
1946,38
1947,74
1948,77
1949,76
1950,77
1951,114
1952,122
1953,89
1954,86
1955,97
1956,99
1957,70
1958,85
1959,109
1960,152
1961,143
1962,161
1963,181
1964,145
1965,128
1966,118
1967,97
1968,98
1969,108
1970,92
1971,77
1972,66
1973,62
1974,52
1975,57
1976,33
1977,45
1978,36
1979,32
1980,34
1981,25
1982,48
1983,26
1984,27
1985,13
1986,13
1987,22
1988,13
1989,8
1990,8
1991,7
1992,7
1993,5
1994,6
1995,0
1996,5
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
