year,Faith (F),Faith (M)
1880,0.000030,0.000000
1881,0.000026,0.000000
1882,0.000041,0.000000
1883,0.000000,0.000000
1884,0.000025,0.000000
1885,0.000042,0.000000
1886,0.000063,0.000000
1887,0.000020,0.000000
1888,0.000043,0.000000
1889,0.000055,0.000000
1890,0.000033,0.000000
1891,0.000094,0.000000
1892,0.000063,0.000000
1893,0.000043,0.000000
1894,0.000068,0.000000
1895,0.000060,0.000000
1896,0.000076,0.000000
1897,0.000072,0.000000
1898,0.000097,0.000000
1899,0.000085,0.000000
1900,0.000073,0.000000
1901,0.000084,0.000000
1902,0.000054,0.000000
1903,0.000084,0.000000
1904,0.000067,0.000000
1905,0.000045,0.000000
1906,0.000091,0.000000
1907,0.000043,0.000000
1908,0.000072,0.000000
1909,0.000076,0.000000
1910,0.000059,0.000000
1911,0.000073,0.000000
1912,0.000068,0.000000
1913,0.000069,0.000000
1914,0.000064,0.000000
1915,0.000069,0.000000
1916,0.000058,0.000000
1917,0.000078,0.000000
1918,0.000080,0.000000
1919,0.000072,0.000000
1920,0.000072,0.000000
1921,0.000081,0.000000
1922,0.000096,0.000000
1923,0.000096,0.000000
1924,0.000097,0.000000
1925,0.000097,0.000000
1926,0.000098,0.000000
1927,0.000093,0.000000
1928,0.000094,0.000000
1929,0.000091,0.000000
1930,0.000104,0.000000
1931,0.000124,0.000000
1932,0.000161,0.000000
1933,0.000165,0.000000
1934,0.000157,0.000000
1935,0.000144,0.000000
1936,0.000171,0.000000
1937,0.000159,0.000000
1938,0.000148,0.000000
1939,0.000173,0.000000
1940,0.000162,0.000000
1941,0.000190,0.000000
1942,0.000209,0.000000
1943,0.000202,0.000000
1944,0.000166,0.000000
1945,0.000160,0.000000
1946,0.000136,0.000000
1947,0.000127,0.000000
1948,0.000116,0.000000
1949,0.000111,0.000000
1950,0.000131,0.000000
1951,0.000159,0.000000
1952,0.000159,0.000000
1953,0.000157,0.000000
1954,0.000170,0.000000
1955,0.000199,0.000000
1956,0.000189,0.000001
1957,0.000197,0.000000
1958,0.000191,0.000000
1959,0.000201,0.000000
1960,0.000210,0.000001
1961,0.000189,0.000000
1962,0.000181,0.000000
1963,0.000201,0.000000
1964,0.000207,0.000000
1965,0.000195,0.000000
1966,0.000188,0.000000
1967,0.000175,0.000000
1968,0.000157,0.000000
1969,0.000150,0.000000
1970,0.000152,0.000002
1971,0.000154,0.000000
1972,0.000167,0.000000
1973,0.000169,0.000000
1974,0.000178,0.000000
1975,0.000184,0.000000
1976,0.000210,0.000000
1977,0.000252,0.000000
1978,0.000264,0.000000
1979,0.000259,0.000000
1980,0.000233,0.000000
1981,0.000230,0.000000
1982,0.000196,0.000003
1983,0.000192,0.000001
1984,0.000182,0.000000
1985,0.000156,0.000001
1986,0.000178,0.000000
1987,0.000156,0.000000
1988,0.000168,0.000000
1989,0.000184,0.000000
1990,0.000238,0.000002
1991,0.000276,0.000000
1992,0.000296,0.000000
1993,0.000301,0.000000
1994,0.000351,0.000000
1995,0.000477,0.000000
1996,0.000592,0.000002
1997,0.000711,0.000002
1998,0.000875,0.000002
1999,0.001146,0.000002
2000,0.001323,0.000003
2001,0.001446,0.000002
2002,0.001478,0.000001
2003,0.001472,0.000004
2004,0.001418,0.000007
2005,0.001365,0.000002
2006,0.001229,0.000002
2007,0.001076,0.000003
2008,0.000923,0.000002
2009,0.000984,0.000002
2010,0.001000,0.000002
2011,0.001018,0.000002
2012,0.000966,0.000000
