year,Fanny
1880,67
1881,55
1882,49
1883,68
1884,66
1885,85
1886,81
1887,83
1888,75
1889,87
1890,84
1891,84
1892,92
1893,79
1894,90
1895,94
1896,108
1897,78
1898,78
1899,73
1900,86
1901,60
1902,68
1903,79
1904,65
1905,71
1906,71
1907,103
1908,86
1909,79
1910,102
1911,100
1912,116
1913,124
1914,167
1915,211
1916,241
1917,209
1918,202
1919,190
1920,222
1921,170
1922,194
1923,177
1924,167
1925,188
1926,163
1927,166
1928,149
1929,139
1930,124
1931,109
1932,93
1933,80
1934,91
1935,88
1936,49
1937,43
1938,63
1939,50
1940,36
1941,40
1942,44
1943,51
1944,36
1945,45
1946,25
1947,36
1948,31
1949,39
1950,39
1951,29
1952,26
1953,29
1954,32
1955,34
1956,31
1957,32
1958,27
1959,29
1960,28
1961,27
1962,30
1963,29
1964,30
1965,27
1966,18
1967,15
1968,31
1969,21
1970,28
1971,34
1972,33
1973,51
1974,40
1975,41
1976,36
1977,30
1978,33
1979,47
1980,39
1981,42
1982,44
1983,36
1984,41
1985,41
1986,33
1987,48
1988,60
1989,62
1990,67
1991,71
1992,76
1993,77
1994,58
1995,50
1996,38
1997,40
1998,43
1999,41
2000,32
2001,51
2002,37
2003,41
2004,41
2005,28
2006,34
2007,39
2008,50
2009,44
2010,25
2011,30
2012,27
