year,Felix (F),Felix (M)
1880,0.000000,0.000457
1881,0.000000,0.000374
1882,0.000000,0.000411
1883,0.000000,0.000313
1884,0.000000,0.000419
1885,0.000000,0.000332
1886,0.000000,0.000360
1887,0.000000,0.000331
1888,0.000000,0.000337
1889,0.000000,0.000287
1890,0.000000,0.000239
1891,0.000000,0.000300
1892,0.000000,0.000287
1893,0.000000,0.000264
1894,0.000000,0.000230
1895,0.000000,0.000311
1896,0.000000,0.000232
1897,0.000000,0.000280
1898,0.000000,0.000270
1899,0.000000,0.000274
1900,0.000000,0.000273
1901,0.000000,0.000202
1902,0.000000,0.000295
1903,0.000000,0.000244
1904,0.000000,0.000255
1905,0.000000,0.000271
1906,0.000000,0.000261
1907,0.000000,0.000241
1908,0.000000,0.000241
1909,0.000000,0.000289
1910,0.000000,0.000273
1911,0.000000,0.000269
1912,0.000000,0.000304
1913,0.000000,0.000318
1914,0.000000,0.000371
1915,0.000000,0.000318
1916,0.000000,0.000358
1917,0.000004,0.000329
1918,0.000000,0.000344
1919,0.000000,0.000344
1920,0.000004,0.000295
1921,0.000004,0.000286
1922,0.000003,0.000287
1923,0.000004,0.000277
1924,0.000002,0.000278
1925,0.000000,0.000266
1926,0.000003,0.000243
1927,0.000006,0.000243
1928,0.000007,0.000207
1929,0.000003,0.000227
1930,0.000003,0.000232
1931,0.000004,0.000228
1932,0.000002,0.000207
1933,0.000004,0.000204
1934,0.000003,0.000186
1935,0.000002,0.000186
1936,0.000004,0.000190
1937,0.000003,0.000186
1938,0.000003,0.000178
1939,0.000000,0.000181
1940,0.000004,0.000169
1941,0.000002,0.000157
1942,0.000000,0.000147
1943,0.000000,0.000148
1944,0.000000,0.000157
1945,0.000003,0.000153
1946,0.000000,0.000140
1947,0.000001,0.000136
1948,0.000002,0.000132
1949,0.000000,0.000144
1950,0.000000,0.000142
1951,0.000002,0.000146
1952,0.000001,0.000142
1953,0.000002,0.000147
1954,0.000000,0.000142
1955,0.000001,0.000139
1956,0.000001,0.000143
1957,0.000003,0.000154
1958,0.000001,0.000151
1959,0.000002,0.000151
1960,0.000002,0.000157
1961,0.000000,0.000142
1962,0.000001,0.000144
1963,0.000002,0.000155
1964,0.000001,0.000146
1965,0.000000,0.000164
1966,0.000002,0.000151
1967,0.000001,0.000144
1968,0.000002,0.000168
1969,0.000000,0.000165
1970,0.000001,0.000177
1971,0.000002,0.000175
1972,0.000003,0.000167
1973,0.000000,0.000185
1974,0.000003,0.000177
1975,0.000003,0.000178
1976,0.000002,0.000169
1977,0.000003,0.000168
1978,0.000000,0.000167
1979,0.000003,0.000162
1980,0.000000,0.000156
1981,0.000004,0.000160
1982,0.000000,0.000150
1983,0.000003,0.000142
1984,0.000001,0.000141
1985,0.000000,0.000134
1986,0.000002,0.000137
1987,0.000002,0.000154
1988,0.000000,0.000155
1989,0.000001,0.000159
1990,0.000000,0.000160
1991,0.000002,0.000150
1992,0.000004,0.000179
1993,0.000002,0.000161
1994,0.000001,0.000160
1995,0.000001,0.000170
1996,0.000002,0.000168
1997,0.000001,0.000178
1998,0.000002,0.000173
1999,0.000002,0.000180
2000,0.000000,0.000184
2001,0.000003,0.000183
2002,0.000002,0.000177
2003,0.000003,0.000182
2004,0.000000,0.000181
2005,0.000002,0.000200
2006,0.000001,0.000192
2007,0.000000,0.000202
2008,0.000000,0.000227
2009,0.000000,0.000243
2010,0.000000,0.000257
2011,0.000001,0.000283
2012,0.000004,0.000284
2013,0.000004,0.000324
2014,0.000001,0.000372
2015,0.000005,0.000373
2016,0.000002,0.000412
2017,0.000004,0.000424
2018,0.000004,0.000471
2019,0.000005,0.000488
2020,0.000003,0.000500
