year,Fronie
1880,7
1881,0
1882,6
1883,11
1884,12
1885,5
1886,13
1887,8
1888,13
1889,11
1890,12
1891,15
1892,13
1893,15
1894,13
1895,12
1896,13
1897,9
1898,22
1899,13
1900,13
1901,9
1902,13
1903,11
1904,14
1905,16
1906,14
1907,16
1908,9
1909,15
1910,20
1911,17
1912,14
1913,20
1914,18
1915,15
1916,11
1917,21
1918,24
1919,23
1920,16
1921,18
1922,14
1923,12
1924,16
1925,13
1926,9
1927,8
1928,11
1929,12
1930,7
1931,9
1932,10
1933,0
1934,9
1935,7
1936,5
1937,9
1938,7
1939,0
1940,9
1941,5
1942,5
1943,0
1944,6
1945,9
1946,7
1947,6
1948,0
1949,9
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
