year,Freddrick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,5
1923,0
1924,0
1925,6
1926,0
1927,0
1928,0
1929,11
1930,5
1931,5
1932,0
1933,5
1934,0
1935,7
1936,5
1937,8
1938,9
1939,12
1940,5
1941,6
1942,13
1943,9
1944,9
1945,0
1946,6
1947,11
1948,12
1949,15
1950,16
1951,17
1952,21
1953,25
1954,14
1955,24
1956,15
1957,21
1958,23
1959,11
1960,7
1961,16
1962,12
1963,13
1964,11
1965,5
1966,7
1967,14
1968,13
1969,17
1970,19
1971,25
1972,25
1973,15
1974,28
1975,21
1976,16
1977,16
1978,17
1979,22
1980,16
1981,19
1982,23
1983,12
1984,19
1985,19
1986,7
1987,15
1988,21
1989,28
1990,19
1991,16
1992,23
1993,13
1994,18
1995,26
1996,14
1997,13
1998,10
1999,16
2000,14
2001,10
2002,9
2003,10
2004,10
2005,9
2006,11
2007,10
2008,12
2009,11
2010,8
2011,8
2012,5
