year,Felisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,5
1916,0
1917,0
1918,6
1919,0
1920,6
1921,11
1922,0
1923,0
1924,13
1925,5
1926,0
1927,6
1928,7
1929,0
1930,7
1931,9
1932,7
1933,6
1934,6
1935,0
1936,5
1937,0
1938,0
1939,5
1940,6
1941,0
1942,0
1943,5
1944,5
1945,9
1946,7
1947,0
1948,8
1949,0
1950,6
1951,8
1952,0
1953,6
1954,10
1955,5
1956,19
1957,20
1958,19
1959,23
1960,35
1961,30
1962,25
1963,56
1964,53
1965,72
1966,70
1967,73
1968,81
1969,77
1970,92
1971,85
1972,73
1973,62
1974,55
1975,63
1976,29
1977,56
1978,42
1979,44
1980,38
1981,33
1982,32
1983,24
1984,22
1985,27
1986,23
1987,25
1988,22
1989,18
1990,22
1991,28
1992,17
1993,20
1994,25
1995,23
1996,12
1997,11
1998,12
1999,13
2000,10
2001,7
2002,12
2003,7
2004,10
2005,10
2006,7
2007,10
2008,7
2009,8
2010,6
2011,0
2012,0
