year,Fidencio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,8
1914,5
1915,0
1916,6
1917,9
1918,6
1919,6
1920,10
1921,6
1922,8
1923,19
1924,12
1925,20
1926,19
1927,17
1928,51
1929,43
1930,27
1931,26
1932,19
1933,10
1934,17
1935,21
1936,9
1937,15
1938,13
1939,15
1940,18
1941,13
1942,20
1943,17
1944,20
1945,15
1946,27
1947,22
1948,29
1949,18
1950,21
1951,18
1952,23
1953,16
1954,15
1955,27
1956,29
1957,26
1958,20
1959,20
1960,23
1961,19
1962,12
1963,21
1964,29
1965,16
1966,27
1967,29
1968,26
1969,27
1970,30
1971,22
1972,26
1973,27
1974,35
1975,34
1976,28
1977,21
1978,27
1979,30
1980,36
1981,29
1982,28
1983,34
1984,29
1985,22
1986,23
1987,22
1988,31
1989,20
1990,38
1991,26
1992,19
1993,26
1994,29
1995,24
1996,23
1997,18
1998,22
1999,25
2000,27
2001,31
2002,30
2003,23
2004,20
2005,23
2006,27
2007,25
2008,12
2009,13
2010,13
2011,7
2012,6
