year,Ferdinand (F),Ferdinand (M)
1880,0.000000,0.000159
1881,0.000000,0.000119
1882,0.000000,0.000217
1883,0.000000,0.000138
1884,0.000000,0.000226
1885,0.000000,0.000149
1886,0.000000,0.000157
1887,0.000000,0.000174
1888,0.000000,0.000140
1889,0.000000,0.000118
1890,0.000000,0.000109
1891,0.000000,0.000098
1892,0.000000,0.000099
1893,0.000000,0.000138
1894,0.000000,0.000130
1895,0.000000,0.000108
1896,0.000000,0.000112
1897,0.000000,0.000081
1898,0.000000,0.000079
1899,0.000000,0.000103
1900,0.000000,0.000091
1901,0.000000,0.000084
1902,0.000000,0.000083
1903,0.000000,0.000050
1904,0.000000,0.000089
1905,0.000000,0.000073
1906,0.000000,0.000079
1907,0.000000,0.000075
1908,0.000000,0.000072
1909,0.000000,0.000074
1910,0.000000,0.000081
1911,0.000000,0.000079
1912,0.000000,0.000114
1913,0.000000,0.000112
1914,0.000000,0.000144
1915,0.000000,0.000134
1916,0.000000,0.000127
1917,0.000000,0.000118
1918,0.000000,0.000119
1919,0.000000,0.000097
1920,0.000000,0.000082
1921,0.000000,0.000095
1922,0.000000,0.000093
1923,0.000000,0.000086
1924,0.000000,0.000078
1925,0.000000,0.000068
1926,0.000000,0.000070
1927,0.000000,0.000067
1928,0.000000,0.000069
1929,0.000000,0.000063
1930,0.000000,0.000066
1931,0.000000,0.000051
1932,0.000000,0.000052
1933,0.000000,0.000047
1934,0.000000,0.000040
1935,0.000000,0.000048
1936,0.000000,0.000056
1937,0.000000,0.000029
1938,0.000000,0.000045
1939,0.000000,0.000036
1940,0.000000,0.000026
1941,0.000000,0.000026
1942,0.000000,0.000026
1943,0.000000,0.000026
1944,0.000000,0.000022
1945,0.000000,0.000021
1946,0.000000,0.000015
1947,0.000000,0.000018
1948,0.000000,0.000020
1949,0.000000,0.000012
1950,0.000000,0.000015
1951,0.000000,0.000015
1952,0.000000,0.000018
1953,0.000000,0.000017
1954,0.000000,0.000017
1955,0.000000,0.000017
1956,0.000000,0.000016
1957,0.000000,0.000015
1958,0.000000,0.000013
1959,0.000000,0.000017
1960,0.000000,0.000015
1961,0.000000,0.000015
1962,0.000000,0.000013
1963,0.000000,0.000010
1964,0.000000,0.000010
1965,0.000000,0.000015
1966,0.000000,0.000016
1967,0.000000,0.000016
1968,0.000000,0.000017
1969,0.000000,0.000015
1970,0.000000,0.000016
1971,0.000000,0.000020
1972,0.000000,0.000014
1973,0.000000,0.000015
1974,0.000000,0.000012
1975,0.000000,0.000014
1976,0.000000,0.000013
1977,0.000000,0.000016
1978,0.000000,0.000011
1979,0.000000,0.000009
1980,0.000000,0.000010
1981,0.000000,0.000011
1982,0.000000,0.000013
1983,0.000000,0.000008
1984,0.000000,0.000007
1985,0.000000,0.000010
1986,0.000000,0.000009
1987,0.000000,0.000011
1988,0.000000,0.000007
1989,0.000000,0.000009
1990,0.000000,0.000009
1991,0.000000,0.000007
1992,0.000000,0.000007
1993,0.000000,0.000005
1994,0.000000,0.000007
1995,0.000000,0.000006
1996,0.000000,0.000007
1997,0.000000,0.000004
1998,0.000000,0.000005
1999,0.000000,0.000004
2000,0.000000,0.000004
2001,0.000000,0.000006
2002,0.000000,0.000004
2003,0.000000,0.000005
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000005
2007,0.000000,0.000006
2008,0.000000,0.000006
2009,0.000000,0.000005
2010,0.000000,0.000006
2011,0.000000,0.000005
2012,0.000000,0.000005
2013,0.000000,0.000007
