year,Felicitas
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,6
1899,6
1900,6
1901,6
1902,7
1903,0
1904,9
1905,0
1906,8
1907,8
1908,0
1909,5
1910,13
1911,11
1912,19
1913,16
1914,18
1915,25
1916,27
1917,21
1918,22
1919,28
1920,30
1921,40
1922,31
1923,38
1924,48
1925,40
1926,47
1927,43
1928,67
1929,47
1930,36
1931,38
1932,38
1933,16
1934,32
1935,28
1936,35
1937,16
1938,19
1939,13
1940,23
1941,22
1942,20
1943,21
1944,19
1945,19
1946,17
1947,15
1948,25
1949,27
1950,15
1951,12
1952,19
1953,16
1954,26
1955,17
1956,8
1957,13
1958,16
1959,8
1960,15
1961,23
1962,12
1963,17
1964,11
1965,10
1966,13
1967,11
1968,20
1969,11
1970,11
1971,12
1972,15
1973,9
1974,14
1975,10
1976,10
1977,12
1978,17
1979,21
1980,7
1981,17
1982,24
1983,15
1984,7
1985,14
1986,9
1987,6
1988,15
1989,16
1990,11
1991,12
1992,7
1993,5
1994,5
1995,16
1996,17
1997,13
1998,13
1999,7
2000,14
2001,11
2002,9
2003,8
2004,8
2005,8
2006,10
2007,8
2008,5
2009,6
2010,6
2011,6
2012,6
