year,Fiore
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,13
1913,16
1914,10
1915,15
1916,23
1917,18
1918,21
1919,20
1920,18
1921,19
1922,21
1923,23
1924,17
1925,21
1926,23
1927,11
1928,15
1929,8
1930,15
1931,5
1932,10
1933,9
1934,5
1935,8
1936,0
1937,9
1938,0
1939,0
1940,0
1941,0
1942,9
1943,8
1944,6
1945,8
1946,0
1947,6
1948,6
1949,0
1950,0
1951,0
1952,0
1953,0
1954,7
1955,7
1956,0
1957,6
1958,0
1959,7
1960,0
1961,7
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
