year,Fausto
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,5
1917,0
1918,0
1919,5
1920,9
1921,8
1922,6
1923,8
1924,16
1925,11
1926,11
1927,9
1928,14
1929,12
1930,22
1931,20
1932,9
1933,9
1934,7
1935,15
1936,7
1937,5
1938,0
1939,11
1940,10
1941,10
1942,6
1943,5
1944,7
1945,9
1946,9
1947,13
1948,8
1949,11
1950,16
1951,13
1952,13
1953,14
1954,7
1955,8
1956,10
1957,9
1958,13
1959,16
1960,11
1961,16
1962,17
1963,15
1964,28
1965,13
1966,17
1967,16
1968,16
1969,14
1970,24
1971,34
1972,30
1973,19
1974,21
1975,24
1976,24
1977,31
1978,26
1979,41
1980,39
1981,34
1982,44
1983,48
1984,48
1985,46
1986,44
1987,46
1988,52
1989,44
1990,59
1991,51
1992,56
1993,63
1994,40
1995,47
1996,63
1997,51
1998,53
1999,46
2000,46
2001,54
2002,56
2003,46
2004,62
2005,51
2006,68
2007,50
2008,49
2009,55
2010,42
2011,34
2012,38
