year,Ford
1880,8
1881,11
1882,7
1883,8
1884,0
1885,9
1886,6
1887,10
1888,8
1889,15
1890,17
1891,11
1892,12
1893,13
1894,13
1895,8
1896,11
1897,10
1898,9
1899,11
1900,24
1901,7
1902,13
1903,9
1904,9
1905,12
1906,13
1907,9
1908,23
1909,16
1910,16
1911,18
1912,57
1913,51
1914,72
1915,133
1916,101
1917,95
1918,72
1919,79
1920,57
1921,79
1922,87
1923,115
1924,76
1925,88
1926,71
1927,63
1928,50
1929,51
1930,47
1931,34
1932,33
1933,32
1934,33
1935,35
1936,29
1937,33
1938,34
1939,43
1940,29
1941,46
1942,42
1943,41
1944,48
1945,38
1946,47
1947,63
1948,45
1949,46
1950,41
1951,52
1952,37
1953,44
1954,49
1955,26
1956,42
1957,41
1958,38
1959,48
1960,36
1961,32
1962,30
1963,30
1964,17
1965,28
1966,25
1967,22
1968,22
1969,26
1970,26
1971,20
1972,10
1973,19
1974,6
1975,15
1976,14
1977,9
1978,11
1979,23
1980,12
1981,14
1982,10
1983,16
1984,17
1985,16
1986,16
1987,20
1988,25
1989,22
1990,19
1991,26
1992,28
1993,27
1994,38
1995,36
1996,36
1997,49
1998,35
1999,36
2000,52
2001,41
2002,45
2003,54
2004,37
2005,62
2006,88
2007,65
2008,87
2009,94
2010,100
2011,139
2012,170
