year,Flo
1880,0
1881,7
1882,0
1883,0
1884,7
1885,0
1886,6
1887,12
1888,10
1889,14
1890,14
1891,24
1892,18
1893,11
1894,22
1895,19
1896,15
1897,20
1898,20
1899,21
1900,14
1901,21
1902,18
1903,21
1904,22
1905,28
1906,16
1907,24
1908,16
1909,18
1910,27
1911,19
1912,29
1913,20
1914,29
1915,39
1916,56
1917,57
1918,46
1919,36
1920,52
1921,49
1922,34
1923,35
1924,38
1925,39
1926,41
1927,53
1928,54
1929,40
1930,52
1931,35
1932,48
1933,40
1934,39
1935,39
1936,40
1937,32
1938,33
1939,37
1940,29
1941,31
1942,28
1943,27
1944,39
1945,20
1946,22
1947,27
1948,16
1949,15
1950,16
1951,12
1952,12
1953,11
1954,10
1955,21
1956,14
1957,15
1958,17
1959,15
1960,12
1961,8
1962,9
1963,11
1964,6
1965,5
1966,8
1967,0
1968,0
1969,0
1970,7
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
