year,Florene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,7
1890,0
1891,0
1892,9
1893,7
1894,7
1895,0
1896,0
1897,0
1898,9
1899,9
1900,7
1901,6
1902,13
1903,10
1904,15
1905,12
1906,12
1907,14
1908,28
1909,32
1910,21
1911,23
1912,50
1913,56
1914,82
1915,120
1916,146
1917,128
1918,158
1919,176
1920,158
1921,163
1922,154
1923,157
1924,164
1925,128
1926,134
1927,131
1928,130
1929,112
1930,108
1931,110
1932,111
1933,99
1934,116
1935,93
1936,94
1937,101
1938,85
1939,70
1940,75
1941,56
1942,71
1943,68
1944,61
1945,49
1946,44
1947,65
1948,42
1949,54
1950,34
1951,45
1952,30
1953,32
1954,32
1955,31
1956,19
1957,19
1958,22
1959,27
1960,22
1961,15
1962,18
1963,14
1964,13
1965,8
1966,11
1967,8
1968,14
1969,7
1970,8
1971,7
1972,0
1973,8
1974,7
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
