year,Fredda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,8
1896,6
1897,6
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,8
1909,0
1910,6
1911,0
1912,7
1913,6
1914,14
1915,10
1916,12
1917,19
1918,20
1919,19
1920,17
1921,28
1922,23
1923,11
1924,16
1925,17
1926,28
1927,14
1928,17
1929,15
1930,18
1931,22
1932,17
1933,18
1934,15
1935,21
1936,25
1937,28
1938,30
1939,28
1940,23
1941,39
1942,41
1943,47
1944,46
1945,38
1946,57
1947,52
1948,61
1949,50
1950,33
1951,44
1952,46
1953,29
1954,43
1955,19
1956,22
1957,26
1958,15
1959,12
1960,16
1961,13
1962,17
1963,19
1964,13
1965,11
1966,16
1967,8
1968,12
1969,10
1970,10
1971,5
1972,8
1973,0
1974,7
1975,8
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
