year,Fawn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,8
1912,6
1913,7
1914,9
1915,13
1916,15
1917,11
1918,8
1919,15
1920,9
1921,12
1922,9
1923,11
1924,13
1925,12
1926,18
1927,17
1928,14
1929,12
1930,8
1931,9
1932,9
1933,9
1934,9
1935,7
1936,6
1937,13
1938,7
1939,7
1940,10
1941,5
1942,5
1943,6
1944,0
1945,0
1946,12
1947,20
1948,23
1949,26
1950,28
1951,20
1952,34
1953,48
1954,64
1955,56
1956,74
1957,67
1958,48
1959,109
1960,125
1961,132
1962,97
1963,121
1964,121
1965,112
1966,131
1967,89
1968,92
1969,75
1970,101
1971,117
1972,99
1973,121
1974,136
1975,153
1976,160
1977,198
1978,150
1979,157
1980,165
1981,206
1982,156
1983,166
1984,133
1985,132
1986,111
1987,143
1988,125
1989,96
1990,67
1991,64
1992,44
1993,33
1994,25
1995,20
1996,17
1997,24
1998,20
1999,17
2000,21
2001,17
2002,15
2003,13
2004,15
2005,18
2006,7
2007,17
2008,10
2009,6
2010,8
2011,5
2012,10
