year,Felipe (F),Felipe (M)
1880,0.000000,0.000040
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000028
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000047
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000027
1891,0.000000,0.000031
1892,0.000000,0.000036
1893,0.000000,0.000028
1894,0.000000,0.000000
1895,0.000000,0.000023
1896,0.000000,0.000028
1897,0.000000,0.000029
1898,0.000000,0.000000
1899,0.000000,0.000021
1900,0.000000,0.000031
1901,0.000000,0.000038
1902,0.000000,0.000039
1903,0.000000,0.000034
1904,0.000000,0.000015
1905,0.000000,0.000024
1906,0.000000,0.000051
1907,0.000000,0.000026
1908,0.000000,0.000035
1909,0.000000,0.000037
1910,0.000000,0.000032
1911,0.000000,0.000039
1912,0.000000,0.000029
1913,0.000000,0.000031
1914,0.000000,0.000031
1915,0.000000,0.000026
1916,0.000000,0.000028
1917,0.000000,0.000036
1918,0.000000,0.000046
1919,0.000000,0.000045
1920,0.000000,0.000048
1921,0.000000,0.000044
1922,0.000000,0.000056
1923,0.000000,0.000046
1924,0.000000,0.000052
1925,0.000000,0.000053
1926,0.000002,0.000066
1927,0.000000,0.000056
1928,0.000000,0.000057
1929,0.000000,0.000044
1930,0.000000,0.000063
1931,0.000000,0.000058
1932,0.000000,0.000046
1933,0.000000,0.000057
1934,0.000000,0.000059
1935,0.000000,0.000046
1936,0.000000,0.000050
1937,0.000000,0.000044
1938,0.000000,0.000036
1939,0.000000,0.000044
1940,0.000000,0.000040
1941,0.000000,0.000039
1942,0.000000,0.000042
1943,0.000000,0.000052
1944,0.000000,0.000049
1945,0.000000,0.000058
1946,0.000000,0.000042
1947,0.000000,0.000037
1948,0.000000,0.000048
1949,0.000000,0.000046
1950,0.000000,0.000047
1951,0.000000,0.000045
1952,0.000000,0.000048
1953,0.000000,0.000045
1954,0.000000,0.000045
1955,0.000000,0.000047
1956,0.000000,0.000045
1957,0.000000,0.000047
1958,0.000000,0.000046
1959,0.000000,0.000052
1960,0.000000,0.000049
1961,0.000000,0.000056
1962,0.000002,0.000058
1963,0.000002,0.000054
1964,0.000000,0.000056
1965,0.000001,0.000061
1966,0.000000,0.000066
1967,0.000000,0.000065
1968,0.000000,0.000076
1969,0.000000,0.000074
1970,0.000001,0.000080
1971,0.000000,0.000091
1972,0.000000,0.000092
1973,0.000000,0.000094
1974,0.000000,0.000103
1975,0.000000,0.000123
1976,0.000000,0.000123
1977,0.000000,0.000105
1978,0.000000,0.000117
1979,0.000002,0.000111
1980,0.000000,0.000119
1981,0.000002,0.000136
1982,0.000001,0.000110
1983,0.000002,0.000134
1984,0.000002,0.000108
1985,0.000001,0.000109
1986,0.000003,0.000122
1987,0.000001,0.000108
1988,0.000000,0.000116
1989,0.000003,0.000127
1990,0.000000,0.000132
1991,0.000002,0.000148
1992,0.000000,0.000141
1993,0.000003,0.000157
1994,0.000002,0.000147
1995,0.000000,0.000151
1996,0.000002,0.000138
1997,0.000000,0.000144
1998,0.000002,0.000134
1999,0.000000,0.000136
2000,0.000000,0.000154
2001,0.000000,0.000161
2002,0.000000,0.000146
2003,0.000000,0.000148
2004,0.000000,0.000154
2005,0.000000,0.000152
2006,0.000000,0.000149
2007,0.000001,0.000141
2008,0.000000,0.000125
2009,0.000000,0.000124
2010,0.000000,0.000115
2011,0.000000,0.000098
2012,0.000000,0.000095
2013,0.000000,0.000088
