year,Floria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,9
1899,5
1900,6
1901,10
1902,6
1903,6
1904,5
1905,0
1906,0
1907,9
1908,5
1909,6
1910,12
1911,10
1912,10
1913,12
1914,15
1915,12
1916,24
1917,29
1918,25
1919,32
1920,31
1921,32
1922,36
1923,25
1924,33
1925,35
1926,32
1927,32
1928,22
1929,31
1930,33
1931,30
1932,22
1933,19
1934,17
1935,23
1936,24
1937,18
1938,24
1939,38
1940,22
1941,33
1942,25
1943,35
1944,33
1945,37
1946,37
1947,33
1948,26
1949,36
1950,29
1951,31
1952,23
1953,30
1954,25
1955,29
1956,22
1957,36
1958,27
1959,25
1960,22
1961,16
1962,18
1963,11
1964,18
1965,9
1966,12
1967,9
1968,9
1969,12
1970,11
1971,0
1972,0
1973,0
1974,0
1975,0
1976,6
1977,5
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
