year,Ferol
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,5
1891,8
1892,6
1893,9
1894,8
1895,0
1896,10
1897,7
1898,8
1899,8
1900,9
1901,8
1902,9
1903,7
1904,6
1905,8
1906,6
1907,7
1908,7
1909,5
1910,5
1911,5
1912,11
1913,8
1914,10
1915,13
1916,18
1917,16
1918,12
1919,18
1920,10
1921,22
1922,14
1923,12
1924,18
1925,24
1926,16
1927,8
1928,11
1929,11
1930,11
1931,11
1932,15
1933,6
1934,9
1935,8
1936,13
1937,16
1938,11
1939,0
1940,13
1941,10
1942,10
1943,12
1944,13
1945,6
1946,6
1947,8
1948,8
1949,6
1950,5
1951,0
1952,0
1953,6
1954,7
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
