year,Fredericka
1880,0
1881,7
1882,5
1883,12
1884,5
1885,0
1886,5
1887,10
1888,10
1889,8
1890,8
1891,8
1892,8
1893,13
1894,5
1895,8
1896,7
1897,0
1898,8
1899,10
1900,11
1901,0
1902,11
1903,6
1904,7
1905,5
1906,7
1907,6
1908,5
1909,0
1910,10
1911,9
1912,12
1913,12
1914,22
1915,15
1916,16
1917,17
1918,21
1919,20
1920,12
1921,12
1922,14
1923,18
1924,22
1925,12
1926,21
1927,9
1928,15
1929,13
1930,19
1931,16
1932,18
1933,9
1934,20
1935,15
1936,11
1937,20
1938,29
1939,29
1940,36
1941,29
1942,24
1943,32
1944,35
1945,29
1946,27
1947,40
1948,35
1949,33
1950,21
1951,23
1952,28
1953,23
1954,23
1955,24
1956,23
1957,18
1958,14
1959,28
1960,18
1961,24
1962,16
1963,25
1964,32
1965,13
1966,13
1967,8
1968,23
1969,21
1970,29
1971,15
1972,27
1973,23
1974,22
1975,12
1976,18
1977,15
1978,13
1979,23
1980,21
1981,21
1982,13
1983,13
1984,10
1985,17
1986,16
1987,24
1988,20
1989,17
1990,25
1991,20
1992,18
1993,18
1994,13
1995,11
1996,8
1997,8
1998,8
1999,14
2000,6
2001,9
2002,0
2003,0
2004,7
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
