year,Florance
1880,7
1881,6
1882,9
1883,0
1884,0
1885,6
1886,7
1887,7
1888,11
1889,8
1890,10
1891,9
1892,8
1893,10
1894,15
1895,8
1896,12
1897,11
1898,16
1899,6
1900,16
1901,6
1902,15
1903,16
1904,10
1905,15
1906,12
1907,15
1908,15
1909,12
1910,20
1911,22
1912,30
1913,20
1914,35
1915,42
1916,33
1917,50
1918,48
1919,44
1920,38
1921,37
1922,36
1923,39
1924,48
1925,34
1926,28
1927,43
1928,24
1929,25
1930,30
1931,32
1932,24
1933,22
1934,26
1935,28
1936,20
1937,22
1938,19
1939,24
1940,19
1941,13
1942,15
1943,17
1944,27
1945,17
1946,15
1947,16
1948,17
1949,22
1950,16
1951,14
1952,12
1953,12
1954,9
1955,12
1956,13
1957,12
1958,7
1959,7
1960,8
1961,10
1962,10
1963,11
1964,15
1965,8
1966,5
1967,0
1968,12
1969,11
1970,0
1971,6
1972,6
1973,0
1974,5
1975,0
1976,10
1977,0
1978,0
1979,6
1980,0
1981,0
1982,5
1983,0
1984,0
1985,6
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
