year,Frederic (F),Frederic (M)
1880,0.000000,0.000109
1881,0.000000,0.000067
1882,0.000000,0.000113
1883,0.000000,0.000092
1884,0.000000,0.000107
1885,0.000000,0.000133
1886,0.000000,0.000051
1887,0.000000,0.000081
1888,0.000000,0.000063
1889,0.000000,0.000080
1890,0.000000,0.000070
1891,0.000000,0.000056
1892,0.000000,0.000030
1893,0.000000,0.000028
1894,0.000000,0.000047
1895,0.000000,0.000040
1896,0.000000,0.000048
1897,0.000000,0.000084
1898,0.000000,0.000068
1899,0.000000,0.000065
1900,0.000000,0.000022
1901,0.000000,0.000046
1902,0.000000,0.000047
1903,0.000000,0.000050
1904,0.000000,0.000040
1905,0.000000,0.000068
1906,0.000000,0.000044
1907,0.000000,0.000032
1908,0.000000,0.000063
1909,0.000000,0.000061
1910,0.000000,0.000074
1911,0.000000,0.000062
1912,0.000000,0.000119
1913,0.000000,0.000118
1914,0.000000,0.000122
1915,0.000000,0.000131
1916,0.000000,0.000104
1917,0.000000,0.000109
1918,0.000000,0.000093
1919,0.000000,0.000072
1920,0.000000,0.000085
1921,0.000000,0.000087
1922,0.000000,0.000074
1923,0.000000,0.000078
1924,0.000000,0.000073
1925,0.000000,0.000067
1926,0.000000,0.000074
1927,0.000000,0.000072
1928,0.000000,0.000064
1929,0.000000,0.000075
1930,0.000000,0.000073
1931,0.000000,0.000067
1932,0.000000,0.000067
1933,0.000000,0.000088
1934,0.000000,0.000089
1935,0.000000,0.000068
1936,0.000000,0.000084
1937,0.000000,0.000091
1938,0.000000,0.000099
1939,0.000000,0.000094
1940,0.000000,0.000086
1941,0.000000,0.000087
1942,0.000000,0.000094
1943,0.000000,0.000087
1944,0.000000,0.000077
1945,0.000000,0.000084
1946,0.000000,0.000090
1947,0.000000,0.000083
1948,0.000000,0.000074
1949,0.000000,0.000078
1950,0.000000,0.000068
1951,0.000000,0.000066
1952,0.000000,0.000073
1953,0.000000,0.000059
1954,0.000000,0.000057
1955,0.000000,0.000056
1956,0.000000,0.000052
1957,0.000000,0.000045
1958,0.000000,0.000045
1959,0.000000,0.000037
1960,0.000000,0.000034
1961,0.000000,0.000035
1962,0.000000,0.000034
1963,0.000000,0.000032
1964,0.000000,0.000035
1965,0.000000,0.000039
1966,0.000000,0.000033
1967,0.000000,0.000039
1968,0.000000,0.000040
1969,0.000000,0.000037
1970,0.000000,0.000040
1971,0.000000,0.000039
1972,0.000000,0.000028
1973,0.000000,0.000031
1974,0.000000,0.000033
1975,0.000000,0.000021
1976,0.000000,0.000025
1977,0.000000,0.000025
1978,0.000000,0.000017
1979,0.000000,0.000029
1980,0.000000,0.000019
1981,0.000000,0.000018
1982,0.000000,0.000016
1983,0.000000,0.000019
1984,0.000000,0.000014
1985,0.000000,0.000016
1986,0.000000,0.000019
1987,0.000000,0.000014
1988,0.000000,0.000011
1989,0.000000,0.000016
1990,0.000000,0.000012
1991,0.000000,0.000012
1992,0.000000,0.000012
1993,0.000000,0.000012
1994,0.000000,0.000011
1995,0.000000,0.000011
1996,0.000000,0.000015
1997,0.000000,0.000014
1998,0.000000,0.000011
1999,0.000000,0.000011
2000,0.000000,0.000011
2001,0.000000,0.000009
2002,0.000000,0.000010
2003,0.000000,0.000008
2004,0.000000,0.000009
2005,0.000000,0.000010
2006,0.000000,0.000009
2007,0.000000,0.000008
2008,0.000000,0.000008
2009,0.000000,0.000006
2010,0.000000,0.000005
2011,0.000000,0.000007
2012,0.000000,0.000009
2013,0.000000,0.000007
2014,0.000000,0.000012
2015,0.000000,0.000011
2016,0.000000,0.000011
2017,0.000000,0.000013
2018,0.000000,0.000010
2019,0.000000,0.000011
2020,0.000000,0.000010
