year,Forest (F),Forest (M)
1880,0.000000,0.000149
1881,0.000000,0.000093
1882,0.000000,0.000122
1883,0.000000,0.000129
1884,0.000000,0.000136
1885,0.000000,0.000125
1886,0.000000,0.000172
1887,0.000000,0.000113
1888,0.000000,0.000120
1889,0.000000,0.000083
1890,0.000033,0.000123
1891,0.000028,0.000143
1892,0.000015,0.000147
1893,0.000018,0.000181
1894,0.000015,0.000094
1895,0.000000,0.000148
1896,0.000022,0.000140
1897,0.000043,0.000144
1898,0.000016,0.000163
1899,0.000015,0.000112
1900,0.000000,0.000118
1901,0.000000,0.000130
1902,0.000000,0.000153
1903,0.000013,0.000123
1904,0.000015,0.000161
1905,0.000012,0.000132
1906,0.000000,0.000135
1907,0.000013,0.000131
1908,0.000000,0.000102
1909,0.000000,0.000092
1910,0.000008,0.000110
1911,0.000016,0.000132
1912,0.000000,0.000122
1913,0.000010,0.000155
1914,0.000007,0.000161
1915,0.000005,0.000138
1916,0.000006,0.000156
1917,0.000006,0.000143
1918,0.000006,0.000146
1919,0.000007,0.000140
1920,0.000004,0.000129
1921,0.000005,0.000108
1922,0.000005,0.000131
1923,0.000003,0.000117
1924,0.000000,0.000114
1925,0.000005,0.000108
1926,0.000003,0.000102
1927,0.000005,0.000098
1928,0.000006,0.000107
1929,0.000003,0.000101
1930,0.000000,0.000093
1931,0.000000,0.000094
1932,0.000000,0.000073
1933,0.000000,0.000086
1934,0.000005,0.000066
1935,0.000002,0.000062
1936,0.000000,0.000057
1937,0.000000,0.000067
1938,0.000000,0.000050
1939,0.000000,0.000057
1940,0.000000,0.000054
1941,0.000000,0.000058
1942,0.000002,0.000046
1943,0.000000,0.000045
1944,0.000002,0.000052
1945,0.000002,0.000041
1946,0.000000,0.000031
1947,0.000000,0.000045
1948,0.000000,0.000031
1949,0.000000,0.000038
1950,0.000000,0.000033
1951,0.000002,0.000028
1952,0.000000,0.000026
1953,0.000000,0.000029
1954,0.000000,0.000026
1955,0.000000,0.000026
1956,0.000000,0.000023
1957,0.000001,0.000026
1958,0.000000,0.000027
1959,0.000000,0.000022
1960,0.000000,0.000022
1961,0.000000,0.000020
1962,0.000000,0.000023
1963,0.000001,0.000021
1964,0.000000,0.000021
1965,0.000000,0.000024
1966,0.000000,0.000022
1967,0.000000,0.000018
1968,0.000000,0.000023
1969,0.000000,0.000015
1970,0.000000,0.000020
1971,0.000000,0.000025
1972,0.000000,0.000021
1973,0.000000,0.000019
1974,0.000002,0.000029
1975,0.000002,0.000025
1976,0.000002,0.000027
1977,0.000000,0.000027
1978,0.000002,0.000021
1979,0.000000,0.000024
1980,0.000002,0.000030
1981,0.000001,0.000024
1982,0.000001,0.000021
1983,0.000000,0.000021
1984,0.000002,0.000020
1985,0.000000,0.000013
1986,0.000000,0.000023
1987,0.000000,0.000024
1988,0.000000,0.000022
1989,0.000000,0.000024
1990,0.000000,0.000025
1991,0.000002,0.000034
1992,0.000002,0.000043
1993,0.000003,0.000055
1994,0.000007,0.000068
1995,0.000003,0.000056
1996,0.000002,0.000032
1997,0.000000,0.000029
1998,0.000000,0.000030
1999,0.000000,0.000022
2000,0.000000,0.000022
2001,0.000000,0.000016
2002,0.000000,0.000018
2003,0.000000,0.000018
2004,0.000000,0.000014
2005,0.000000,0.000016
2006,0.000000,0.000012
2007,0.000000,0.000017
2008,0.000000,0.000020
2009,0.000000,0.000018
2010,0.000000,0.000023
2011,0.000000,0.000023
2012,0.000000,0.000021
