year,Fay (F),Fay (M)
1880,0.000065,0.000074
1881,0.000093,0.000078
1882,0.000153,0.000068
1883,0.000129,0.000069
1884,0.000160,0.000082
1885,0.000199,0.000075
1886,0.000145,0.000098
1887,0.000190,0.000069
1888,0.000214,0.000047
1889,0.000291,0.000066
1890,0.000328,0.000083
1891,0.000321,0.000073
1892,0.000290,0.000060
1893,0.000274,0.000108
1894,0.000366,0.000100
1895,0.000345,0.000066
1896,0.000299,0.000059
1897,0.000406,0.000037
1898,0.000448,0.000066
1899,0.000410,0.000068
1900,0.000377,0.000067
1901,0.000437,0.000075
1902,0.000468,0.000083
1903,0.000498,0.000094
1904,0.000461,0.000047
1905,0.000507,0.000066
1906,0.000502,0.000035
1907,0.000552,0.000032
1908,0.000546,0.000041
1909,0.000481,0.000055
1910,0.000535,0.000041
1911,0.000526,0.000042
1912,0.000441,0.000057
1913,0.000376,0.000073
1914,0.000400,0.000071
1915,0.000383,0.000077
1916,0.000349,0.000079
1917,0.000343,0.000071
1918,0.000305,0.000057
1919,0.000313,0.000070
1920,0.000305,0.000059
1921,0.000262,0.000055
1922,0.000248,0.000056
1923,0.000259,0.000053
1924,0.000236,0.000047
1925,0.000260,0.000051
1926,0.000314,0.000048
1927,0.000286,0.000042
1928,0.000277,0.000039
1929,0.000299,0.000037
1930,0.000276,0.000037
1931,0.000300,0.000039
1932,0.000311,0.000033
1933,0.000304,0.000040
1934,0.000305,0.000040
1935,0.000260,0.000034
1936,0.000255,0.000029
1937,0.000258,0.000022
1938,0.000224,0.000024
1939,0.000227,0.000019
1940,0.000216,0.000026
1941,0.000176,0.000018
1942,0.000179,0.000018
1943,0.000167,0.000013
1944,0.000145,0.000015
1945,0.000126,0.000012
1946,0.000128,0.000011
1947,0.000117,0.000009
1948,0.000103,0.000006
1949,0.000116,0.000009
1950,0.000108,0.000006
1951,0.000106,0.000005
1952,0.000084,0.000006
1953,0.000078,0.000004
1954,0.000081,0.000004
1955,0.000066,0.000005
1956,0.000079,0.000004
1957,0.000063,0.000004
1958,0.000073,0.000003
1959,0.000063,0.000003
1960,0.000066,0.000003
1961,0.000059,0.000004
1962,0.000056,0.000003
1963,0.000053,0.000002
1964,0.000047,0.000002
1965,0.000043,0.000001
1966,0.000040,0.000000
1967,0.000033,0.000003
1968,0.000033,0.000002
1969,0.000024,0.000003
1970,0.000019,0.000001
1971,0.000020,0.000002
1972,0.000016,0.000002
1973,0.000018,0.000000
1974,0.000015,0.000000
1975,0.000017,0.000000
1976,0.000018,0.000003
1977,0.000016,0.000000
1978,0.000014,0.000000
1979,0.000009,0.000000
1980,0.000012,0.000000
1981,0.000009,0.000000
1982,0.000010,0.000000
1983,0.000010,0.000000
1984,0.000009,0.000000
1985,0.000009,0.000000
1986,0.000007,0.000000
1987,0.000007,0.000000
1988,0.000007,0.000000
1989,0.000008,0.000000
1990,0.000007,0.000000
1991,0.000005,0.000000
1992,0.000004,0.000000
1993,0.000004,0.000000
1994,0.000005,0.000000
1995,0.000004,0.000000
1996,0.000003,0.000000
1997,0.000005,0.000000
1998,0.000005,0.000000
1999,0.000004,0.000000
2000,0.000006,0.000000
2001,0.000005,0.000000
2002,0.000006,0.000000
2003,0.000007,0.000000
2004,0.000007,0.000000
2005,0.000004,0.000000
2006,0.000007,0.000000
2007,0.000007,0.000000
2008,0.000005,0.000000
2009,0.000007,0.000000
2010,0.000006,0.000000
2011,0.000007,0.000000
2012,0.000008,0.000000
2013,0.000007,0.000000
