year,Filiberto
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,6
1917,12
1918,7
1919,8
1920,12
1921,19
1922,12
1923,14
1924,14
1925,13
1926,15
1927,11
1928,14
1929,12
1930,9
1931,12
1932,11
1933,0
1934,20
1935,11
1936,12
1937,11
1938,6
1939,8
1940,8
1941,9
1942,11
1943,12
1944,11
1945,11
1946,17
1947,15
1948,12
1949,23
1950,17
1951,14
1952,18
1953,18
1954,18
1955,22
1956,11
1957,17
1958,17
1959,22
1960,17
1961,13
1962,10
1963,13
1964,18
1965,16
1966,6
1967,15
1968,11
1969,12
1970,22
1971,20
1972,31
1973,27
1974,24
1975,21
1976,32
1977,39
1978,34
1979,37
1980,42
1981,44
1982,43
1983,38
1984,28
1985,31
1986,31
1987,44
1988,45
1989,45
1990,53
1991,48
1992,61
1993,52
1994,44
1995,37
1996,44
1997,52
1998,48
1999,45
2000,36
2001,51
2002,55
2003,51
2004,32
2005,41
2006,46
2007,28
2008,31
2009,20
2010,24
2011,31
2012,17
