year,Frankie (F),Frankie (M)
1880,0.000084,0.000000
1881,0.000125,0.000000
1882,0.000095,0.000000
1883,0.000143,0.000000
1884,0.000173,0.000000
1885,0.000145,0.000000
1886,0.000223,0.000000
1887,0.000194,0.000000
1888,0.000334,0.000000
1889,0.000221,0.000000
1890,0.000222,0.000000
1891,0.000220,0.000000
1892,0.000215,0.000000
1893,0.000277,0.000000
1894,0.000201,0.000000
1895,0.000177,0.000000
1896,0.000162,0.000000
1897,0.000173,0.000020
1898,0.000173,0.000000
1899,0.000224,0.000000
1900,0.000158,0.000000
1901,0.000171,0.000020
1902,0.000228,0.000000
1903,0.000212,0.000013
1904,0.000228,0.000015
1905,0.000302,0.000014
1906,0.000257,0.000000
1907,0.000191,0.000019
1908,0.000303,0.000027
1909,0.000250,0.000027
1910,0.000281,0.000022
1911,0.000264,0.000022
1912,0.000210,0.000028
1913,0.000208,0.000021
1914,0.000199,0.000023
1915,0.000184,0.000025
1916,0.000197,0.000033
1917,0.000184,0.000026
1918,0.000218,0.000033
1919,0.000222,0.000040
1920,0.000201,0.000048
1921,0.000193,0.000040
1922,0.000197,0.000051
1923,0.000198,0.000057
1924,0.000223,0.000061
1925,0.000238,0.000059
1926,0.000228,0.000068
1927,0.000219,0.000081
1928,0.000226,0.000084
1929,0.000217,0.000102
1930,0.000245,0.000116
1931,0.000250,0.000133
1932,0.000265,0.000142
1933,0.000285,0.000150
1934,0.000284,0.000163
1935,0.000259,0.000139
1936,0.000274,0.000165
1937,0.000268,0.000180
1938,0.000238,0.000167
1939,0.000219,0.000151
1940,0.000224,0.000172
1941,0.000199,0.000170
1942,0.000195,0.000179
1943,0.000212,0.000174
1944,0.000202,0.000193
1945,0.000192,0.000218
1946,0.000142,0.000184
1947,0.000141,0.000163
1948,0.000145,0.000181
1949,0.000130,0.000165
1950,0.000124,0.000186
1951,0.000116,0.000176
1952,0.000113,0.000172
1953,0.000108,0.000167
1954,0.000106,0.000175
1955,0.000098,0.000177
1956,0.000096,0.000186
1957,0.000090,0.000177
1958,0.000085,0.000182
1959,0.000077,0.000210
1960,0.000077,0.000196
1961,0.000071,0.000195
1962,0.000067,0.000172
1963,0.000071,0.000185
1964,0.000061,0.000191
1965,0.000077,0.000187
1966,0.000064,0.000189
1967,0.000060,0.000186
1968,0.000059,0.000177
1969,0.000051,0.000169
1970,0.000046,0.000166
1971,0.000049,0.000167
1972,0.000047,0.000157
1973,0.000041,0.000156
1974,0.000042,0.000151
1975,0.000036,0.000146
1976,0.000040,0.000136
1977,0.000037,0.000126
1978,0.000033,0.000127
1979,0.000028,0.000120
1980,0.000028,0.000116
1981,0.000023,0.000107
1982,0.000016,0.000103
1983,0.000020,0.000100
1984,0.000016,0.000104
1985,0.000020,0.000091
1986,0.000021,0.000093
1987,0.000023,0.000115
1988,0.000026,0.000101
1989,0.000031,0.000096
1990,0.000028,0.000098
1991,0.000035,0.000093
1992,0.000045,0.000087
1993,0.000043,0.000092
1994,0.000036,0.000080
1995,0.000032,0.000078
1996,0.000031,0.000076
1997,0.000033,0.000074
1998,0.000030,0.000068
1999,0.000031,0.000072
2000,0.000025,0.000062
2001,0.000024,0.000060
2002,0.000025,0.000062
2003,0.000021,0.000057
2004,0.000029,0.000066
2005,0.000028,0.000074
2006,0.000027,0.000090
2007,0.000033,0.000086
2008,0.000025,0.000074
2009,0.000034,0.000084
2010,0.000031,0.000074
2011,0.000037,0.000067
2012,0.000047,0.000066
2013,0.000041,0.000073
2014,0.000058,0.000061
2015,0.000073,0.000056
2016,0.000078,0.000055
2017,0.000090,0.000066
2018,0.000096,0.000055
2019,0.000110,0.000058
2020,0.000147,0.000065
