year,Felipa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,5
1897,7
1898,10
1899,10
1900,7
1901,5
1902,6
1903,9
1904,9
1905,9
1906,6
1907,8
1908,8
1909,7
1910,14
1911,9
1912,11
1913,27
1914,27
1915,33
1916,34
1917,39
1918,38
1919,58
1920,43
1921,36
1922,50
1923,56
1924,57
1925,56
1926,56
1927,49
1928,50
1929,37
1930,50
1931,32
1932,36
1933,37
1934,42
1935,32
1936,25
1937,35
1938,18
1939,30
1940,19
1941,22
1942,21
1943,37
1944,26
1945,23
1946,28
1947,37
1948,33
1949,18
1950,23
1951,25
1952,22
1953,26
1954,18
1955,10
1956,17
1957,23
1958,13
1959,13
1960,24
1961,12
1962,11
1963,12
1964,14
1965,12
1966,16
1967,9
1968,11
1969,18
1970,12
1971,18
1972,12
1973,13
1974,15
1975,12
1976,11
1977,16
1978,20
1979,11
1980,14
1981,12
1982,20
1983,16
1984,11
1985,11
1986,9
1987,6
1988,10
1989,12
1990,8
1991,10
1992,6
1993,8
1994,8
1995,5
1996,10
1997,8
1998,9
1999,8
2000,0
2001,5
2002,5
2003,12
2004,12
2005,0
2006,6
2007,6
2008,7
2009,0
2010,5
2011,8
2012,5
