year,Florrie
1880,0
1881,0
1882,8
1883,5
1884,9
1885,7
1886,9
1887,11
1888,14
1889,10
1890,11
1891,16
1892,25
1893,18
1894,16
1895,20
1896,27
1897,11
1898,16
1899,20
1900,28
1901,22
1902,18
1903,22
1904,17
1905,24
1906,19
1907,15
1908,21
1909,23
1910,23
1911,28
1912,22
1913,36
1914,21
1915,29
1916,38
1917,28
1918,28
1919,35
1920,34
1921,51
1922,28
1923,39
1924,27
1925,28
1926,23
1927,34
1928,32
1929,29
1930,25
1931,17
1932,16
1933,18
1934,23
1935,23
1936,14
1937,15
1938,18
1939,8
1940,18
1941,13
1942,16
1943,15
1944,12
1945,14
1946,14
1947,10
1948,12
1949,17
1950,10
1951,12
1952,11
1953,16
1954,10
1955,12
1956,9
1957,10
1958,10
1959,9
1960,7
1961,0
1962,11
1963,0
1964,6
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
