year,Fletcher (F),Fletcher (M)
1880,0.000000,0.000124
1881,0.000000,0.000176
1882,0.000000,0.000095
1883,0.000000,0.000124
1884,0.000000,0.000111
1885,0.000000,0.000100
1886,0.000000,0.000149
1887,0.000000,0.000085
1888,0.000000,0.000120
1889,0.000000,0.000111
1890,0.000000,0.000076
1891,0.000000,0.000098
1892,0.000000,0.000135
1893,0.000000,0.000098
1894,0.000000,0.000080
1895,0.000000,0.000108
1896,0.000000,0.000087
1897,0.000000,0.000104
1898,0.000000,0.000087
1899,0.000000,0.000100
1900,0.000000,0.000118
1901,0.000000,0.000095
1902,0.000000,0.000096
1903,0.000000,0.000087
1904,0.000000,0.000087
1905,0.000000,0.000083
1906,0.000000,0.000068
1907,0.000000,0.000095
1908,0.000000,0.000080
1909,0.000000,0.000072
1910,0.000000,0.000091
1911,0.000000,0.000079
1912,0.000000,0.000090
1913,0.000010,0.000073
1914,0.000000,0.000075
1915,0.000005,0.000076
1916,0.000000,0.000077
1917,0.000002,0.000077
1918,0.000003,0.000075
1919,0.000000,0.000066
1920,0.000000,0.000054
1921,0.000002,0.000071
1922,0.000000,0.000063
1923,0.000003,0.000060
1924,0.000000,0.000066
1925,0.000003,0.000060
1926,0.000004,0.000064
1927,0.000003,0.000058
1928,0.000003,0.000057
1929,0.000003,0.000057
1930,0.000003,0.000054
1931,0.000000,0.000048
1932,0.000002,0.000054
1933,0.000000,0.000064
1934,0.000000,0.000056
1935,0.000000,0.000050
1936,0.000002,0.000045
1937,0.000000,0.000050
1938,0.000000,0.000047
1939,0.000000,0.000046
1940,0.000002,0.000041
1941,0.000000,0.000039
1942,0.000000,0.000041
1943,0.000000,0.000036
1944,0.000002,0.000039
1945,0.000000,0.000034
1946,0.000000,0.000033
1947,0.000000,0.000027
1948,0.000000,0.000038
1949,0.000001,0.000035
1950,0.000000,0.000034
1951,0.000000,0.000031
1952,0.000000,0.000027
1953,0.000000,0.000026
1954,0.000000,0.000024
1955,0.000000,0.000027
1956,0.000000,0.000018
1957,0.000000,0.000022
1958,0.000000,0.000021
1959,0.000000,0.000018
1960,0.000000,0.000018
1961,0.000000,0.000022
1962,0.000000,0.000018
1963,0.000000,0.000019
1964,0.000000,0.000022
1965,0.000000,0.000022
1966,0.000000,0.000020
1967,0.000000,0.000021
1968,0.000000,0.000018
1969,0.000000,0.000018
1970,0.000000,0.000021
1971,0.000000,0.000020
1972,0.000000,0.000013
1973,0.000000,0.000013
1974,0.000000,0.000017
1975,0.000000,0.000018
1976,0.000000,0.000018
1977,0.000000,0.000017
1978,0.000000,0.000016
1979,0.000000,0.000016
1980,0.000000,0.000017
1981,0.000000,0.000013
1982,0.000000,0.000015
1983,0.000000,0.000013
1984,0.000000,0.000021
1985,0.000000,0.000026
1986,0.000000,0.000027
1987,0.000000,0.000024
1988,0.000000,0.000020
1989,0.000000,0.000022
1990,0.000000,0.000017
1991,0.000000,0.000019
1992,0.000000,0.000019
1993,0.000000,0.000024
1994,0.000000,0.000025
1995,0.000000,0.000023
1996,0.000000,0.000026
1997,0.000000,0.000023
1998,0.000000,0.000028
1999,0.000000,0.000033
2000,0.000000,0.000035
2001,0.000000,0.000035
2002,0.000000,0.000042
2003,0.000000,0.000042
2004,0.000000,0.000046
2005,0.000000,0.000041
2006,0.000000,0.000044
2007,0.000001,0.000051
2008,0.000000,0.000050
2009,0.000000,0.000058
2010,0.000000,0.000064
2011,0.000000,0.000063
2012,0.000000,0.000078
