year,Federico (F),Federico (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000024
1890,0.000000,0.000027
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000019
1906,0.000000,0.000014
1907,0.000000,0.000000
1908,0.000000,0.000020
1909,0.000000,0.000012
1910,0.000000,0.000024
1911,0.000000,0.000017
1912,0.000000,0.000010
1913,0.000000,0.000009
1914,0.000000,0.000013
1915,0.000000,0.000012
1916,0.000000,0.000014
1917,0.000000,0.000011
1918,0.000000,0.000015
1919,0.000000,0.000009
1920,0.000000,0.000016
1921,0.000000,0.000022
1922,0.000000,0.000017
1923,0.000000,0.000015
1924,0.000000,0.000018
1925,0.000000,0.000021
1926,0.000000,0.000021
1927,0.000000,0.000026
1928,0.000000,0.000027
1929,0.000000,0.000023
1930,0.000000,0.000023
1931,0.000000,0.000032
1932,0.000000,0.000022
1933,0.000000,0.000024
1934,0.000000,0.000025
1935,0.000000,0.000019
1936,0.000000,0.000020
1937,0.000000,0.000019
1938,0.000000,0.000018
1939,0.000000,0.000013
1940,0.000002,0.000021
1941,0.000000,0.000016
1942,0.000000,0.000014
1943,0.000000,0.000014
1944,0.000000,0.000016
1945,0.000000,0.000019
1946,0.000000,0.000017
1947,0.000000,0.000014
1948,0.000000,0.000023
1949,0.000000,0.000017
1950,0.000000,0.000022
1951,0.000000,0.000018
1952,0.000000,0.000016
1953,0.000000,0.000019
1954,0.000000,0.000020
1955,0.000000,0.000022
1956,0.000000,0.000015
1957,0.000000,0.000018
1958,0.000000,0.000019
1959,0.000000,0.000020
1960,0.000000,0.000019
1961,0.000000,0.000018
1962,0.000000,0.000019
1963,0.000000,0.000016
1964,0.000000,0.000018
1965,0.000000,0.000021
1966,0.000000,0.000022
1967,0.000000,0.000027
1968,0.000000,0.000022
1969,0.000000,0.000024
1970,0.000000,0.000026
1971,0.000000,0.000029
1972,0.000000,0.000037
1973,0.000000,0.000033
1974,0.000000,0.000035
1975,0.000000,0.000038
1976,0.000000,0.000048
1977,0.000000,0.000037
1978,0.000000,0.000034
1979,0.000000,0.000037
1980,0.000000,0.000038
1981,0.000000,0.000037
1982,0.000000,0.000036
1983,0.000000,0.000034
1984,0.000000,0.000030
1985,0.000000,0.000031
1986,0.000000,0.000030
1987,0.000000,0.000029
1988,0.000000,0.000026
1989,0.000000,0.000037
1990,0.000000,0.000030
1991,0.000000,0.000035
1992,0.000000,0.000030
1993,0.000000,0.000031
1994,0.000000,0.000030
1995,0.000000,0.000033
1996,0.000000,0.000032
1997,0.000000,0.000034
1998,0.000000,0.000031
1999,0.000000,0.000030
2000,0.000000,0.000029
2001,0.000000,0.000031
2002,0.000000,0.000033
2003,0.000000,0.000034
2004,0.000000,0.000032
2005,0.000000,0.000032
2006,0.000000,0.000026
2007,0.000000,0.000037
2008,0.000000,0.000027
2009,0.000000,0.000021
2010,0.000000,0.000022
2011,0.000000,0.000020
2012,0.000000,0.000024
