year,Francene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,6
1917,0
1918,9
1919,8
1920,0
1921,0
1922,0
1923,0
1924,6
1925,8
1926,10
1927,5
1928,8
1929,6
1930,11
1931,0
1932,10
1933,8
1934,18
1935,19
1936,16
1937,7
1938,23
1939,17
1940,14
1941,21
1942,20
1943,25
1944,39
1945,40
1946,56
1947,69
1948,65
1949,66
1950,76
1951,50
1952,59
1953,51
1954,43
1955,48
1956,58
1957,36
1958,68
1959,44
1960,45
1961,47
1962,43
1963,43
1964,63
1965,38
1966,29
1967,23
1968,23
1969,19
1970,30
1971,15
1972,18
1973,7
1974,17
1975,12
1976,10
1977,12
1978,7
1979,7
1980,6
1981,6
1982,12
1983,0
1984,7
1985,5
1986,0
1987,5
1988,0
1989,5
1990,0
1991,6
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
