year,Faustina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,5
1892,0
1893,8
1894,0
1895,7
1896,0
1897,0
1898,0
1899,0
1900,5
1901,6
1902,0
1903,8
1904,7
1905,5
1906,6
1907,8
1908,7
1909,8
1910,12
1911,12
1912,16
1913,12
1914,22
1915,21
1916,24
1917,27
1918,28
1919,30
1920,23
1921,28
1922,28
1923,20
1924,38
1925,25
1926,8
1927,18
1928,24
1929,21
1930,22
1931,16
1932,16
1933,13
1934,18
1935,17
1936,9
1937,9
1938,13
1939,12
1940,7
1941,13
1942,10
1943,6
1944,10
1945,7
1946,10
1947,17
1948,0
1949,6
1950,12
1951,10
1952,12
1953,17
1954,11
1955,12
1956,11
1957,0
1958,10
1959,13
1960,14
1961,11
1962,10
1963,9
1964,10
1965,10
1966,9
1967,7
1968,12
1969,11
1970,15
1971,7
1972,11
1973,8
1974,8
1975,10
1976,5
1977,9
1978,10
1979,14
1980,7
1981,10
1982,10
1983,8
1984,9
1985,0
1986,11
1987,8
1988,9
1989,12
1990,11
1991,6
1992,11
1993,14
1994,16
1995,5
1996,5
1997,0
1998,15
1999,11
2000,15
2001,11
2002,19
2003,13
2004,15
2005,15
2006,27
2007,17
2008,14
2009,15
2010,13
2011,21
2012,28
