year,Fransisco (F),Fransisco (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000006
1915,0.000000,0.000003
1916,0.000000,0.000004
1917,0.000000,0.000004
1918,0.000000,0.000004
1919,0.000000,0.000004
1920,0.000000,0.000004
1921,0.000000,0.000006
1922,0.000000,0.000004
1923,0.000000,0.000006
1924,0.000000,0.000008
1925,0.000000,0.000006
1926,0.000000,0.000006
1927,0.000000,0.000007
1928,0.000000,0.000008
1929,0.000000,0.000005
1930,0.000000,0.000008
1931,0.000000,0.000009
1932,0.000000,0.000006
1933,0.000000,0.000006
1934,0.000000,0.000007
1935,0.000000,0.000006
1936,0.000000,0.000009
1937,0.000000,0.000008
1938,0.000000,0.000005
1939,0.000000,0.000006
1940,0.000000,0.000004
1941,0.000000,0.000005
1942,0.000000,0.000004
1943,0.000000,0.000002
1944,0.000000,0.000004
1945,0.000000,0.000007
1946,0.000000,0.000009
1947,0.000000,0.000005
1948,0.000000,0.000006
1949,0.000000,0.000009
1950,0.000000,0.000008
1951,0.000000,0.000008
1952,0.000000,0.000008
1953,0.000000,0.000007
1954,0.000000,0.000007
1955,0.000000,0.000007
1956,0.000000,0.000006
1957,0.000000,0.000005
1958,0.000000,0.000005
1959,0.000000,0.000005
1960,0.000000,0.000004
1961,0.000000,0.000005
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000004
1965,0.000000,0.000006
1966,0.000000,0.000005
1967,0.000000,0.000005
1968,0.000000,0.000005
1969,0.000000,0.000005
1970,0.000000,0.000007
1971,0.000000,0.000007
1972,0.000000,0.000009
1973,0.000000,0.000012
1974,0.000000,0.000015
1975,0.000000,0.000015
1976,0.000000,0.000016
1977,0.000000,0.000015
1978,0.000000,0.000014
1979,0.000000,0.000017
1980,0.000000,0.000016
1981,0.000000,0.000017
1982,0.000000,0.000015
1983,0.000000,0.000011
1984,0.000000,0.000011
1985,0.000000,0.000012
1986,0.000000,0.000012
1987,0.000000,0.000013
1988,0.000000,0.000011
1989,0.000000,0.000010
1990,0.000000,0.000015
1991,0.000000,0.000013
1992,0.000000,0.000016
1993,0.000000,0.000015
1994,0.000000,0.000013
1995,0.000000,0.000013
1996,0.000000,0.000015
1997,0.000000,0.000013
1998,0.000000,0.000010
1999,0.000000,0.000017
2000,0.000000,0.000015
2001,0.000000,0.000021
2002,0.000000,0.000013
2003,0.000000,0.000017
2004,0.000000,0.000014
2005,0.000000,0.000012
2006,0.000000,0.000013
2007,0.000000,0.000010
2008,0.000000,0.000010
2009,0.000000,0.000011
2010,0.000000,0.000007
2011,0.000000,0.000005
2012,0.000000,0.000006
2013,0.000000,0.000006
