year,Francena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,6
1915,10
1916,5
1917,7
1918,10
1919,0
1920,11
1921,12
1922,9
1923,8
1924,14
1925,9
1926,12
1927,6
1928,12
1929,9
1930,10
1931,17
1932,15
1933,11
1934,9
1935,8
1936,10
1937,10
1938,8
1939,12
1940,19
1941,13
1942,11
1943,8
1944,11
1945,14
1946,12
1947,18
1948,23
1949,23
1950,17
1951,19
1952,16
1953,11
1954,11
1955,13
1956,16
1957,12
1958,14
1959,7
1960,8
1961,5
1962,7
1963,5
1964,11
1965,7
1966,6
1967,0
1968,6
1969,6
1970,0
1971,0
1972,7
1973,0
1974,0
1975,0
1976,7
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
