year,Fleeta
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,5
1887,0
1888,0
1889,0
1890,14
1891,0
1892,8
1893,5
1894,8
1895,5
1896,7
1897,5
1898,11
1899,6
1900,14
1901,10
1902,10
1903,10
1904,8
1905,14
1906,5
1907,7
1908,11
1909,7
1910,11
1911,7
1912,8
1913,11
1914,19
1915,19
1916,14
1917,16
1918,17
1919,14
1920,17
1921,27
1922,22
1923,19
1924,13
1925,13
1926,9
1927,12
1928,12
1929,17
1930,7
1931,11
1932,15
1933,5
1934,12
1935,7
1936,8
1937,11
1938,7
1939,15
1940,10
1941,10
1942,11
1943,0
1944,11
1945,5
1946,7
1947,18
1948,16
1949,8
1950,9
1951,6
1952,10
1953,6
1954,7
1955,7
1956,0
1957,0
1958,0
1959,0
1960,7
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
