year,Forrest (F),Forrest (M)
1880,0.000000,0.000179
1881,0.000000,0.000145
1882,0.000000,0.000172
1883,0.000000,0.000115
1884,0.000000,0.000148
1885,0.000000,0.000149
1886,0.000000,0.000219
1887,0.000020,0.000137
1888,0.000020,0.000207
1889,0.000024,0.000225
1890,0.000033,0.000186
1891,0.000028,0.000206
1892,0.000000,0.000156
1893,0.000028,0.000228
1894,0.000000,0.000156
1895,0.000020,0.000251
1896,0.000022,0.000243
1897,0.000020,0.000233
1898,0.000026,0.000210
1899,0.000024,0.000245
1900,0.000013,0.000147
1901,0.000020,0.000211
1902,0.000016,0.000235
1903,0.000021,0.000199
1904,0.000015,0.000221
1905,0.000000,0.000177
1906,0.000000,0.000198
1907,0.000034,0.000247
1908,0.000000,0.000215
1909,0.000010,0.000245
1910,0.000015,0.000174
1911,0.000000,0.000236
1912,0.000015,0.000312
1913,0.000012,0.000347
1914,0.000011,0.000354
1915,0.000005,0.000351
1916,0.000008,0.000337
1917,0.000007,0.000330
1918,0.000009,0.000349
1919,0.000007,0.000325
1920,0.000006,0.000350
1921,0.000009,0.000335
1922,0.000008,0.000337
1923,0.000009,0.000330
1924,0.000006,0.000291
1925,0.000002,0.000278
1926,0.000003,0.000295
1927,0.000004,0.000263
1928,0.000006,0.000252
1929,0.000008,0.000274
1930,0.000006,0.000239
1931,0.000006,0.000225
1932,0.000007,0.000236
1933,0.000003,0.000227
1934,0.000004,0.000198
1935,0.000004,0.000202
1936,0.000002,0.000189
1937,0.000003,0.000197
1938,0.000004,0.000182
1939,0.000004,0.000188
1940,0.000004,0.000177
1941,0.000003,0.000175
1942,0.000004,0.000150
1943,0.000004,0.000159
1944,0.000004,0.000174
1945,0.000002,0.000166
1946,0.000004,0.000154
1947,0.000000,0.000143
1948,0.000002,0.000125
1949,0.000003,0.000132
1950,0.000004,0.000130
1951,0.000003,0.000136
1952,0.000003,0.000137
1953,0.000004,0.000124
1954,0.000001,0.000126
1955,0.000002,0.000126
1956,0.000002,0.000107
1957,0.000001,0.000109
1958,0.000002,0.000100
1959,0.000001,0.000105
1960,0.000002,0.000096
1961,0.000000,0.000104
1962,0.000000,0.000112
1963,0.000001,0.000102
1964,0.000000,0.000098
1965,0.000000,0.000096
1966,0.000000,0.000086
1967,0.000002,0.000089
1968,0.000001,0.000088
1969,0.000000,0.000080
1970,0.000001,0.000086
1971,0.000002,0.000092
1972,0.000002,0.000087
1973,0.000000,0.000074
1974,0.000003,0.000092
1975,0.000002,0.000092
1976,0.000000,0.000092
1977,0.000000,0.000099
1978,0.000002,0.000100
1979,0.000002,0.000095
1980,0.000000,0.000097
1981,0.000002,0.000090
1982,0.000002,0.000102
1983,0.000003,0.000090
1984,0.000002,0.000083
1985,0.000000,0.000087
1986,0.000002,0.000093
1987,0.000001,0.000105
1988,0.000003,0.000109
1989,0.000000,0.000120
1990,0.000001,0.000137
1991,0.000004,0.000159
1992,0.000005,0.000217
1993,0.000006,0.000252
1994,0.000010,0.000362
1995,0.000006,0.000234
1996,0.000002,0.000118
1997,0.000002,0.000102
1998,0.000000,0.000081
1999,0.000000,0.000071
2000,0.000000,0.000067
2001,0.000000,0.000055
2002,0.000001,0.000052
2003,0.000000,0.000051
2004,0.000000,0.000041
2005,0.000000,0.000039
2006,0.000000,0.000037
2007,0.000000,0.000036
2008,0.000000,0.000033
2009,0.000000,0.000044
2010,0.000000,0.000044
2011,0.000000,0.000044
2012,0.000000,0.000042
2013,0.000000,0.000070
