year,Fredia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,9
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,9
1911,7
1912,11
1913,6
1914,15
1915,17
1916,18
1917,20
1918,23
1919,17
1920,27
1921,26
1922,31
1923,30
1924,30
1925,25
1926,36
1927,32
1928,30
1929,27
1930,34
1931,30
1932,30
1933,29
1934,35
1935,23
1936,37
1937,33
1938,41
1939,50
1940,27
1941,37
1942,37
1943,38
1944,45
1945,38
1946,45
1947,56
1948,73
1949,54
1950,59
1951,58
1952,64
1953,57
1954,58
1955,52
1956,65
1957,52
1958,48
1959,53
1960,60
1961,60
1962,48
1963,49
1964,40
1965,28
1966,21
1967,22
1968,19
1969,22
1970,9
1971,15
1972,11
1973,12
1974,16
1975,8
1976,10
1977,12
1978,10
1979,8
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
