year,Feliciano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,6
1914,10
1915,6
1916,8
1917,15
1918,6
1919,12
1920,14
1921,15
1922,14
1923,18
1924,24
1925,11
1926,13
1927,22
1928,18
1929,17
1930,24
1931,16
1932,17
1933,13
1934,23
1935,7
1936,14
1937,15
1938,8
1939,16
1940,14
1941,19
1942,17
1943,13
1944,13
1945,26
1946,13
1947,24
1948,11
1949,17
1950,14
1951,12
1952,25
1953,8
1954,17
1955,12
1956,18
1957,15
1958,20
1959,16
1960,24
1961,24
1962,15
1963,14
1964,20
1965,18
1966,17
1967,15
1968,24
1969,20
1970,33
1971,19
1972,30
1973,33
1974,29
1975,21
1976,36
1977,30
1978,31
1979,40
1980,39
1981,39
1982,34
1983,31
1984,24
1985,23
1986,18
1987,26
1988,21
1989,38
1990,40
1991,26
1992,27
1993,40
1994,33
1995,24
1996,19
1997,37
1998,28
1999,31
2000,18
2001,33
2002,24
2003,28
2004,21
2005,30
2006,28
2007,27
2008,22
2009,23
2010,20
2011,15
2012,18
