year,Finley (F),Finley (M)
1880,0.000000,0.000055
1881,0.000000,0.000052
1882,0.000000,0.000063
1883,0.000000,0.000032
1884,0.000000,0.000041
1885,0.000000,0.000033
1886,0.000000,0.000023
1887,0.000000,0.000028
1888,0.000000,0.000027
1889,0.000000,0.000017
1890,0.000000,0.000023
1891,0.000000,0.000000
1892,0.000000,0.000024
1893,0.000000,0.000018
1894,0.000000,0.000015
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000026
1898,0.000000,0.000026
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000023
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000026
1906,0.000000,0.000021
1907,0.000000,0.000013
1908,0.000000,0.000023
1909,0.000000,0.000014
1910,0.000000,0.000024
1911,0.000000,0.000016
1912,0.000000,0.000016
1913,0.000000,0.000027
1914,0.000000,0.000020
1915,0.000000,0.000024
1916,0.000000,0.000021
1917,0.000000,0.000029
1918,0.000000,0.000019
1919,0.000000,0.000020
1920,0.000000,0.000019
1921,0.000000,0.000015
1922,0.000000,0.000017
1923,0.000000,0.000017
1924,0.000000,0.000016
1925,0.000000,0.000015
1926,0.000000,0.000016
1927,0.000000,0.000019
1928,0.000000,0.000017
1929,0.000000,0.000010
1930,0.000000,0.000013
1931,0.000000,0.000010
1932,0.000000,0.000016
1933,0.000000,0.000014
1934,0.000000,0.000011
1935,0.000000,0.000010
1936,0.000000,0.000010
1937,0.000000,0.000009
1938,0.000000,0.000008
1939,0.000000,0.000013
1940,0.000000,0.000012
1941,0.000000,0.000010
1942,0.000000,0.000012
1943,0.000000,0.000010
1944,0.000000,0.000010
1945,0.000000,0.000012
1946,0.000000,0.000007
1947,0.000000,0.000005
1948,0.000000,0.000006
1949,0.000000,0.000006
1950,0.000000,0.000007
1951,0.000000,0.000006
1952,0.000000,0.000006
1953,0.000000,0.000005
1954,0.000000,0.000006
1955,0.000000,0.000006
1956,0.000000,0.000004
1957,0.000000,0.000005
1958,0.000000,0.000007
1959,0.000000,0.000004
1960,0.000000,0.000004
1961,0.000000,0.000002
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000003
1965,0.000000,0.000004
1966,0.000000,0.000003
1967,0.000000,0.000004
1968,0.000000,0.000003
1969,0.000000,0.000003
1970,0.000000,0.000002
1971,0.000000,0.000003
1972,0.000000,0.000005
1973,0.000000,0.000003
1974,0.000000,0.000002
1975,0.000000,0.000002
1976,0.000000,0.000002
1977,0.000000,0.000002
1978,0.000000,0.000000
1979,0.000000,0.000004
1980,0.000000,0.000002
1981,0.000000,0.000002
1982,0.000000,0.000000
1983,0.000000,0.000000
1984,0.000000,0.000002
1985,0.000000,0.000000
1986,0.000000,0.000000
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000001,0.000003
1990,0.000000,0.000002
1991,0.000001,0.000001
1992,0.000000,0.000002
1993,0.000000,0.000000
1994,0.000000,0.000002
1995,0.000001,0.000003
1996,0.000002,0.000004
1997,0.000002,0.000003
1998,0.000003,0.000005
1999,0.000005,0.000005
2000,0.000005,0.000010
2001,0.000003,0.000009
2002,0.000007,0.000011
2003,0.000011,0.000019
2004,0.000044,0.000032
2005,0.000065,0.000035
2006,0.000073,0.000056
2007,0.000088,0.000068
2008,0.000118,0.000068
2009,0.000151,0.000087
2010,0.000211,0.000114
2011,0.000241,0.000139
2012,0.000250,0.000131
2013,0.000302,0.000156
