year,Flossie
1880,25
1881,28
1882,33
1883,64
1884,70
1885,73
1886,105
1887,123
1888,182
1889,221
1890,231
1891,292
1892,301
1893,296
1894,297
1895,295
1896,315
1897,278
1898,320
1899,265
1900,368
1901,301
1902,330
1903,297
1904,338
1905,406
1906,296
1907,391
1908,340
1909,343
1910,387
1911,339
1912,393
1913,463
1914,538
1915,587
1916,548
1917,574
1918,569
1919,613
1920,545
1921,533
1922,478
1923,510
1924,466
1925,455
1926,450
1927,423
1928,397
1929,382
1930,365
1931,292
1932,289
1933,292
1934,276
1935,249
1936,201
1937,204
1938,189
1939,171
1940,156
1941,152
1942,158
1943,149
1944,141
1945,108
1946,108
1947,121
1948,123
1949,102
1950,88
1951,87
1952,76
1953,61
1954,68
1955,59
1956,69
1957,65
1958,46
1959,46
1960,54
1961,38
1962,33
1963,39
1964,31
1965,38
1966,22
1967,17
1968,15
1969,16
1970,13
1971,15
1972,10
1973,10
1974,12
1975,10
1976,8
1977,9
1978,7
1979,8
1980,10
1981,0
1982,6
1983,6
1984,0
1985,5
1986,6
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
