year,Florice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,9
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,7
1908,9
1909,10
1910,6
1911,5
1912,9
1913,12
1914,9
1915,14
1916,12
1917,15
1918,21
1919,23
1920,21
1921,18
1922,21
1923,20
1924,27
1925,20
1926,12
1927,5
1928,20
1929,13
1930,12
1931,14
1932,14
1933,7
1934,15
1935,7
1936,11
1937,7
1938,5
1939,8
1940,7
1941,8
1942,7
1943,7
1944,0
1945,0
1946,7
1947,0
1948,6
1949,5
1950,0
1951,0
1952,0
1953,6
1954,0
1955,0
1956,8
1957,0
1958,9
1959,9
1960,0
1961,6
1962,0
1963,0
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
